"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
15229.1617558817,-11.9256258682684,0.65551127479452,-18.192861552239,5.8789117256725e-74,4.57555699609091e-70,"175"
19922.162873092,-10.57150558165,0.648845051248488,-16.2928045167465,1.11019289498052e-59,4.32031565081669e-56,"585"
28665.2598970944,-10.122218379029,0.647222697097782,-15.6394675656743,3.91991803967927e-55,1.01695740342746e-51,"1149"
1040.16855093811,-10.860628656416,0.72243208098261,-15.03342520676,4.43469482797196e-51,8.62880746152644e-48,"25"
15112.2390105849,-9.47990031488216,0.648087663448717,-14.6274969414416,1.87561445408002e-48,2.91958145922095e-45,"945"
4880.89029253864,-9.43889096145074,0.653969182832798,-14.4332350961314,3.19725538605197e-47,4.14737311160708e-44,"314"
13335.4460470632,-9.25847246285721,0.648199248184801,-14.2833742692303,2.77817295241711e-46,3.08893144123748e-43,"972"
1534.08428723467,-9.19299489116561,0.670265073547308,-13.715461619554,8.2042562878788e-43,7.98171583607009e-40,"117"
15561.5109422221,-8.81644366903845,0.647397377585859,-13.6182875839178,3.11793021533111e-42,2.69631676288023e-39,"1540"
750.017061386536,-9.4768274005676,0.701158244030427,-13.5159608850814,1.25901014025055e-41,9.79887592157003e-39,"47"
12428.2164731324,-8.63639166172768,0.647799599569409,-13.3318879287179,1.51026713331519e-40,1.06858264532656e-37,"1393"
1456.50503885441,-8.78802320064353,0.668163776024085,-13.1524987076324,1.64642274956039e-39,1.06784235498571e-36,"147"
436.390171047284,-10.0028006013543,0.761043434841781,-13.1435344468005,1.85362147646893e-39,1.10974891933521e-36,"19"
1232.50819563692,-8.74668745129181,0.671904423478116,-13.0177554212466,9.69798892091637e-39,5.39138912653515e-36,"128"
705.593410760244,-9.0357166760275,0.695701338335866,-12.9879248150379,1.43258977742427e-38,7.43323082512875e-36,"60"
515.020535309006,-9.31896382361432,0.720649803590572,-12.9313347165065,2.99572628328385e-38,1.45723360392489e-35,"36"
2309.52243199798,-8.41820879058964,0.658249138454248,-12.7887881636396,1.89404246145358e-37,8.47985911981104e-35,"301"
4474.08094005863,-8.33410981174926,0.651811116179348,-12.7860811282269,1.96116489986636e-37,8.47985911981104e-35,"618"
1311.51875074939,-8.49584259249433,0.668513850505793,-12.7085513427529,5.30073100870093e-37,2.12583642607472e-34,"162"
1648.01720934867,-8.43029065850352,0.663478710471363,-12.7061961830159,5.4627686652312e-37,2.12583642607472e-34,"213"
885.412609196041,-8.58260796358666,0.680314061254503,-12.6156556984289,1.73110799131763e-36,6.41581595067863e-34,"103"
919.485137825325,-8.33419521311067,0.676789927327653,-12.3143014938457,7.58692075652493e-35,2.68404564763789e-32,"127"
8171.40773710404,-7.92912414782664,0.648480122604815,-12.2272431666478,2.22357703734426e-34,7.52439133984799e-32,"1493"
