"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"100287102",3.40177836704874,-1.56079393688963,3.21766470185868,-0.485070410222682,0.62762640075689,NA
"653635",297.660508899808,-1.55236298522298,1.00171371641128,-1.54970722651621,0.121211802856395,0.431721185125603
"102466751",3.29410849691769,-2.08615203055682,2.56472853625585,-0.813400717099797,0.415988348331351,NA
"107985730",0.306103463965231,0.972523259526221,5.4581947653443,0.178176723502258,0.858584189169489,NA
"100302278",0,NA,NA,NA,NA,NA
"645520",2.11468898993481,0.0392912231040334,3.11889943068997,0.0125977845638137,0.989948688061112,NA
"79501",0,NA,NA,NA,NA,NA
"100996442",31.7157881938954,-1.5011176174662,1.11496865046774,-1.34633168101764,0.178195573031333,0.515751733702174
"729737",236.258354963237,-0.905162976216876,1.48666651706275,-0.608854081146073,0.542621163061122,0.819058840188708
"102725121",2.71061501803248,-1.79152107467944,2.95770091818001,-0.605714074627206,0.544704636218578,NA
"102723897",313.429211220022,-1.41240548851694,1.01274045560417,-1.39463717549857,0.163125278687661,0.493801800045384
"102465909",3.43610687710978,-2.20328523860229,2.51225040876791,-0.877016570845285,0.380477637558991,NA
"107985721",0.797739323322992,2.22478235932848,5.43434408870375,0.409392987086167,0.682251285343101,NA
"112268260",7.85794892310595,-1.40696627593123,1.53751798324819,-0.915089313595442,0.360144744601307,0.698447142209869
"729759",0,NA,NA,NA,NA,NA
"100132287",171.880243873009,-1.28945625350665,1.43282594315988,-0.899939214293504,0.368152599938165,0.705649401284077
"105378947",0.728876404935536,-1.81041443712711,4.75936427871017,-0.380389970405406,0.703655958549044,NA
"101928626",0,NA,NA,NA,NA,NA
"113219467",3382.88239952915,0.587432565028216,0.972978820855393,0.603746507567118,0.546012188585307,0.820574176771579
"81399",1.64711733772961,-0.0635557559430623,3.0016244255411,-0.0211737869009395,0.98310702461661,NA
"100133331",182.570584831088,-1.45084433951039,1.46658446095343,-0.989267497466321,0.322532281942282,0.67204770481645
"107984841",14.3167733310635,-0.700130626150586,1.60402585918946,-0.436483378456486,0.662486056230822,0.882733895095405
"107984847",21.1711391150727,-0.621254976349129,1.60133418670901,-0.387960852584995,0.698045004119456,0.898880616047865
"107984849",1.74775468269883,0.738029641591903,3.73104273122628,0.197807876981708,0.843195383007957,NA
"100288069",22.4627406046834,0.342765334006578,1.34417288333401,0.255000929014728,0.798722381697029,0.941774215831667
"105378580",24.5116505923863,-1.69896652716878,1.14301317483718,-1.48639277706557,0.13717525921709,0.459878742586029
"400728",3.49175258712103,-0.855353859490036,2.47483810841586,-0.345620126254459,0.729628218523826,NA
"79854",27.2889829339609,-2.38368958708488,1.06805746834935,-2.23179899745357,0.0256282506296271,0.177737691585658
"643837",214.823970253091,-1.14840119343051,0.889262576231925,-1.29140843674839,0.196562086665567,0.541701740405803
"107984850",1.32616527015988,-2.0827646067777,3.35925215532153,-0.620008415705951,0.535252246321586,NA
"284593",3.93844684738046,-2.00650181394159,2.05837727580837,-0.974797884490631,0.329660526700743,NA
"284600",154.413463220645,1.79841798645378,2.49391368359711,0.721122787160709,NA,NA
"100130417",107.103490662429,-2.76009779611233,2.33748503559517,-1.18079806034333,NA,NA
"107985728",65.996140341261,-2.18649562026032,4.6425893836282,-0.470964679316861,NA,NA
"148398",392.195776445424,-1.06806178282508,1.24860785459457,-0.855402101544429,0.392328580592879,0.722500345053298
"26155",1469.51464518863,0.90073296815693,0.772712126574678,1.16567727770722,0.243744950401262,0.593559809642543
"339451",282.234710797649,0.510773015009699,1.32561229145841,0.385311013107578,0.700007002998563,0.899632378290602
"84069",110.155082632773,0.385563291171754,1.04143985694955,0.370221370537032,0.711217554711999,0.905193723130977
"84808",30.0938714969176,-1.12635612247133,1.09742129798658,-1.02636619549651,0.304719005927788,0.65562097508773
"57801",743.273697964609,0.370046173842095,1.08111262821641,0.34228272261752,0.732138136559401,0.913156610649765
"9636",2598.24528774371,4.57724231767777,1.91156427914745,2.39450086382615,0.0166430042449739,0.136447117425787
"375790",6370.56096956978,2.8316872993665,1.0091997398722,2.80587398855759,0.00501803118526243,0.0612537097757145
"100288175",66.1903672433136,3.83792052711698,1.24677111459611,3.07828797297752,0.00208193622331866,0.0322164568319004
"112267874",16.4846678106343,1.04446521606817,1.45778477931145,0.716474222320731,0.473698578982042,0.777225217851025
