"ENTREZ_GENE_ID","Original ID","Value","Gene Name","Species"
"112","ENSG00000174233","","adenylate cyclase 6(ADCY6)","Homo sapiens"
"113","ENSG00000121281","","adenylate cyclase 7(ADCY7)","Homo sapiens"
"114","ENSG00000155897","","adenylate cyclase 8(ADCY8)","Homo sapiens"
"115","ENSG00000162104","","adenylate cyclase 9(ADCY9)","Homo sapiens"
"116","ENSG00000141433","","adenylate cyclase activating polypeptide 1(ADCYAP1)","Homo sapiens"
"117","ENSG00000078549","","ADCYAP receptor type I(ADCYAP1R1)","Homo sapiens"
"118","ENSG00000087274","","adducin 1(ADD1)","Homo sapiens"
"119","ENSG00000075340","","adducin 2(ADD2)","Homo sapiens"
"120","ENSG00000148700","","adducin 3(ADD3)","Homo sapiens"
"123","ENSG00000147872","","perilipin 2(PLIN2)","Homo sapiens"
"124","ENSG00000187758","","alcohol dehydrogenase 1A (class I), alpha polypeptide(ADH1A)","Homo sapiens"
"125","ENSG00000196616","","alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)","Homo sapiens"
"126","ENSG00000248144","","alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)","Homo sapiens"
"127","ENSG00000198099","","alcohol dehydrogenase 4 (class II), pi polypeptide(ADH4)","Homo sapiens"
"128","ENSG00000197894","","alcohol dehydrogenase 5 (class III), chi polypeptide(ADH5)","Homo sapiens"
"130","ENSG00000172955","","alcohol dehydrogenase 6 (class V)(ADH6)","Homo sapiens"
"131","ENSG00000196344","","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide(ADH7)","Homo sapiens"
"132","ENSG00000156110","","adenosine kinase(ADK)","Homo sapiens"
"133","ENSG00000148926","","adrenomedullin(ADM)","Homo sapiens"
"134","ENSG00000163485","","adenosine A1 receptor(ADORA1)","Homo sapiens"
"135","ENSG00000128271","","adenosine A2a receptor(ADORA2A)","Homo sapiens"
"136","ENSG00000170425","","adenosine A2b receptor(ADORA2B)","Homo sapiens"
"140","ENSG00000282608","","adenosine A3 receptor(ADORA3)","Homo sapiens"
"141","ENSG00000144843","","ADP-ribosylarginine hydrolase(ADPRH)","Homo sapiens"
"142","ENSG00000143799","","poly(ADP-ribose) polymerase 1(PARP1)","Homo sapiens"
"143","ENSG00000102699","","poly(ADP-ribose) polymerase family member 4(PARP4)","Homo sapiens"
"144","ENSG00000227105","","poly(ADP-ribose) polymerase 1 pseudogene 1(PARP1P1)","Homo sapiens"
"146","ENSG00000171873","","adrenoceptor alpha 1D(ADRA1D)","Homo sapiens"
"147","ENSG00000170214","","adrenoceptor alpha 1B(ADRA1B)","Homo sapiens"
"148","ENSG00000120907","","adrenoceptor alpha 1A(ADRA1A)","Homo sapiens"
"150","ENSG00000150594","","adrenoceptor alpha 2A(ADRA2A)","Homo sapiens"
"151","ENSG00000274286","","adrenoceptor alpha 2B(ADRA2B)","Homo sapiens"
"152","ENSG00000184160","","adrenoceptor alpha 2C(ADRA2C)","Homo sapiens"
"153","ENSG00000043591","","adrenoceptor beta 1(ADRB1)","Homo sapiens"
"154","ENSG00000169252","","adrenoceptor beta 2(ADRB2)","Homo sapiens"
"155","ENSG00000188778","","adrenoceptor beta 3(ADRB3)","Homo sapiens"
"156","ENSG00000173020","","G protein-coupled receptor kinase 2(GRK2)","Homo sapiens"
"157","ENSG00000100077","","G protein-coupled receptor kinase 3(GRK3)","Homo sapiens"
"158","ENSG00000239900","","adenylosuccinate lyase(ADSL)","Homo sapiens"
"159","ENSG00000035687","","adenylosuccinate synthase 2(ADSS2)","Homo sapiens"
"160","ENSG00000196961","","adaptor related protein complex 2 subunit alpha 1(AP2A1)","Homo sapiens"
"161","ENSG00000183020","","adaptor related protein complex 2 subunit alpha 2(AP2A2)","Homo sapiens"
"162","ENSG00000100280","","adaptor related protein complex 1 subunit beta 1(AP1B1)","Homo sapiens"
"163","ENSG00000006125","","adaptor related protein complex 2 subunit beta 1(AP2B1)","Homo sapiens"
"164","ENSG00000166747","","adaptor related protein complex 1 subunit gamma 1(AP1G1)","Homo sapiens"
"165","ENSG00000106624","","AE binding protein 1(AEBP1)","Homo sapiens"
"166","ENSG00000104964","","TLE family member 5, transcriptional modulator(TLE5)","Homo sapiens"
"167","ENSG00000124812","","cysteine rich secretory protein 1(CRISP1)","Homo sapiens"
"173","ENSG00000079557","","afamin(AFM)","Homo sapiens"
"174","ENSG00000081051","","alpha fetoprotein(AFP)","Homo sapiens"
"175","ENSG00000038002","","aspartylglucosaminidase(AGA)","Homo sapiens"
"176","ENSG00000157766","","aggrecan(ACAN)","Homo sapiens"
"177","ENSG00000204305","","advanced glycosylation end-product specific receptor(AGER)","Homo sapiens"
"178","ENSG00000162688","","amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase(AGL)","Homo sapiens"
"181","ENSG00000159723","","agouti related neuropeptide(AGRP)","Homo sapiens"
"182","ENSG00000101384","","jagged canonical Notch ligand 1(JAG1)","Homo sapiens"
