gene_ID	counts	Control1	Control2	Control3
58	ACSM3	19	8	29
59	ACSM4	0	1	0
100132116	ACSM5	0	0	0
60	ACSM6	0	0	0
345651	ACSS1	4	6	4
70	ACSS2	83	91	154
71	ACSS3	1	0	0
283693	ACTA1	2	0	2
644961	ACTA2	1	0	3
648740	ACTA2-AS1	0	0	1
72	ACTB	1919	1270	3097
170487	ACTBL2	0	0	0
86	ACTC1	0	0	0
51412	ACTG1	6819	4840	14582
10881	ACTG1P17	2	3	2
10880	ACTG1P20	77	63	106
81569	ACTG1P4	2	0	3
284382	ACTG2	0	0	0
87	ACTL10	32	35	35
88	ACTL6A	244	212	324
89	ACTL6B	25	10	25
81	ACTL7A	0	0	0
55860	ACTL7B	0	0	0
10121	ACTL8	0	0	8
10120	ACTL9	0	0	0
10097	ACTN1	1332	1105	1889
10096	ACTN1-AS1	0	0	0
57180	ACTN2	0	3	2
440888	ACTN3	0	0	0
399746	ACTN4	691	767	1243
653857	ACTR10	489	374	680
79913	ACTR1A	242	228	331
64431	ACTR1B	503	445	940
93973	ACTR2	1401	1103	1982
139741	ACTR3	485	367	817
140625	ACTR3B	119	105	147
84517	ACTR3BP2	0	0	0
90	ACTR3BP5	0	0	0
91	ACTR3C	3	3	9
130399	ACTR5	67	42	86
92	ACTR6	335	224	417
93	ACTR8	111	104	176
100128640	ACTRT1	0	0	0
94	ACTRT2	0	0	0
95	ACTRT3	26	21	38
91703	ACVR1	7	8	26
97	ACVR1B	230	137	407
98	ACVR1C	15	10	11
100	ACVR2A	39	27	50
51816	ACVR2B	73	65	117
132612	ACVR2B-AS1	1	1	3
161931	ACVRL1	39	19	32
102	ACY1	0	0	0
4185	ACY3	5	5	5
8038	ACYP1	109	112	223
8751	ACYP2	36	21	64
6868	ADA	6	0	1
8749	ADA2	112	103	188
8728	ADAD1	0	0	0
8759	ADAD2	1	0	0
2515	ADAL	168	167	256
8748	ADAM10	259	197	411
317760	ADAM11	3	5	8
8747	ADAM12	0	4	5
145241	ADAM15	2080	1869	2138
53616	ADAM17	145	115	199
8745	ADAM18	0	0	0
10863	ADAM19	0	0	0
11086	ADAM1A	32	25	41
11085	ADAM2	0	0	0
203102	ADAM20	1	1	0
80332	ADAM20P1	0	1	2
1587	ADAM21	0	0	0
1596	ADAM21P1	0	0	0
255926	ADAM22	139	111	194
8755	ADAM23	6	1	9
8756	ADAM28	0	0	0
101	ADAM29	0	0	0
8754	ADAM30	0	0	0
27299	ADAM32	2	1	1
9510	ADAM33	0	0	3
81794	ADAM3A	0	0	0
81792	ADAM3B	0	0	0
11093	ADAM5	0	0	0
140766	ADAM6	0	0	0
170689	ADAM7	0	0	0
170690	ADAM8	13	11	28
170691	ADAM9	510	362	771
170692	ADAMDEC1	0	0	0
171019	ADAMTS1	47	58	90
103689846	ADAMTS10	0	0	0
9509	ADAMTS12	0	0	0
80070	ADAMTS13	8	6	7
9508	ADAMTS14	0	0	0
9507	ADAMTS15	1	0	0
11096	ADAMTS16	0	0	0
11174	ADAMTS17	1	0	0
11173	ADAMTS18	0	0	0
390660	ADAMTS19	0	0	5
11095	ADAMTS19-AS1	0	0	0
56999	ADAMTS2	0	0	0
101929335	ADAMTS20	3	6	14
100507098	ADAMTS3	58	32	62
92949	ADAMTS4	0	0	0
9719	ADAMTS5	0	0	0
57188	ADAMTS6	1	3	8
54507	ADAMTS7	0	1	0
574406	ADAMTS7P1	0	0	0
339366	ADAMTS8	0	0	1
11033	ADAMTS9	24	13	34
55803	ADAMTS9-AS1	5	2	3
103	ADAMTS9-AS2	0	0	0
104	ADAMTSL1	1	2	0
105	ADAMTSL2	2	0	0
642394	ADAMTSL3	1	1	0
23536	ADAMTSL4	0	1	0
134637	ADAMTSL4-AS1	3	2	4
113179	ADAMTSL5	6	1	10
57143	ADAP1	13	5	3
90956	ADAP2	27	20	27
203054	ADAR	851	674	1260
107	ADARB1	15	7	14
55811	ADARB2	0	0	0
221442	ADARB2-AS1	0	0	0
108	ADAT1	349	280	435
109	ADAT2	103	98	177
196883	ADAT3	20	22	34
111	ADCK1	29	25	35
112	ADCK2	236	184	360
113	ADCK5	40	43	43
114	ADCY1	2	1	1
115	ADCY10	2	0	2
116	ADCY10P1	13	1	16
117	ADCY2	0	1	0
118	ADCY3	19	20	43
119	ADCY4	5	3	4
120	ADCY5	5	0	8
100505933	ADCY6	593	381	813
79747	ADCY7	8	5	13
84435	ADCY8	0	0	0
100128127	ADCY9	40	26	58
25960	ADCYAP1	3	4	2
166647	ADCYAP1R1	0	0	0
575	ADD1	320	268	513
576	ADD2	0	0	0
577	ADD3	380	290	583
283383	ADD3-AS1	2	0	0
105755954	ADGB	0	0	0
2015	ADGRA1	0	0	0
30817	ADGRA1-AS1	0	0	0
84658	ADGRA2	1	1	1
326342	ADGRA3	71	33	84
976	ADGRB1	0	1	2
266977	ADGRB2	22	10	6
165082	ADGRB3	22	20	40
221393	ADGRD1	0	1	0
221395	ADGRD1-AS1	0	0	0
9289	ADGRE1	0	0	0
10149	ADGRE2	0	0	0
222487	ADGRE3	0	0	0
139378	ADGRE4P	0	0	0
221188	ADGRE5	59	68	106
57211	ADGRF1	0	0	0
84873	ADGRF2	0	0	0
22859	ADGRF3	7	5	2
23266	ADGRF4	0	0	0
23284	ADGRF5	0	2	0
101927186	ADGRG1	1	0	2
64123	ADGRG2	6	5	1
84059	ADGRG3	0	0	0
124	ADGRG4	0	0	0
125	ADGRG5	0	0	0
126	ADGRG6	102	76	155
127	ADGRG7	0	0	0
128	ADGRL1	358	314	586
130	ADGRL2	33	18	46
131	ADGRL3	1	5	1
137872	ADGRL3-AS1	0	0	0
55256	ADGRL4	0	0	0
149685	ADGRV1	131	85	180
9370	ADH1A	0	0	0
100874095	ADH1B	0	0	0
51094	ADH1C	0	0	0
79602	ADH4	0	0	1
10974	ADH5	348	301	536
132	ADH6	4	3	1
133	ADH7	0	0	0
79924	ADHFE1	2	0	1
199800	ADI1	1033	851	1576
23394	ADIG	0	0	0
101927631	ADIPOQ	0	0	0
22850	ADIPOQ-AS1	0	0	0
84890	ADIPOR1	186	166	337
134	ADIPOR2	654	542	857
135	ADIRF	694	645	1102
646023	ADK	215	215	353
136	ADM	13	16	40
140	ADM2	225	235	250
83440	ADM5	12	6	16
100287559	ADNP	364	342	599
141	ADNP-AS1	1	2	10
113622	ADNP2	281	188	512
56985	ADO	122	77	183
148	ADORA1	3	3	0
147	ADORA2A	0	0	0
146	ADORA2A-AS1	0	1	0
150	ADORA2B	0	2	4
151	ADORA3	0	0	0
152	ADPGK	62	49	116
153	ADPGK-AS1	0	0	0
154	ADPRH	0	0	1
155	ADPRHL1	36	57	62
11047	ADPRHL2	179	149	306
158	ADPRM	2	1	8
84830	ADRA1A	101	74	138
165	ADRA1B	0	0	0
121536	ADRA1D	0	0	0
64782	ADRA2A	48	39	69
60312	ADRA2B	0	0	1
84740	ADRA2C	4	2	3
134265	ADRB1	38	40	60
84632	ADRB2	17	11	19
4301	ADRB3	0	0	0
4299	ADRM1	389	395	650
2334	ADSL	291	316	468
3899	ADSS	324	285	576
27125	ADSSL1	179	156	241
246269	ADTRP	0	0	0
172	AEBP1	12	20	25
10939	AEBP2	181	171	292
173	AEN	291	289	413
125061	AES	544	434	623
174	AFAP1	10	11	20
54812	AFAP1-AS1	6	9	4
175	AFAP1L1	22	24	26
116987	AFAP1L2	11	2	10
100506749	AFDN	518	493	837
119385	AFDN-AS1	1	1	0
414224	AFF1	159	140	233
116986	AFF2	5	8	23
100130776	AFF3	841	828	1356
116988	AFF4	550	460	1015
119016	AFG1L	40	31	69
729092	AFG3L1P	226	176	368
414189	AFG3L2	292	262	425
653268	AFM	0	0	0
642517	AFMID	13	10	21
123624	AFP	0	0	0
727915	AFTPH	570	390	737
79841	AGA	61	36	91
340351	AGAP1	157	176	287
84871	AGAP1-IT1	1	2	1
100874313	AGAP11	44	40	65
60509	AGAP12P	2	2	3
100874031	AGAP2	146	107	157
177	AGAP2-AS1	4	1	0
3267	AGAP3	525	584	832
3268	AGAP4	4	7	2
55109	AGAP5	10	2	8
55750	AGAP6	24	10	20
178	AGAP7P	0	1	0
79814	AGAP9	8	4	4
392636	AGBL1	0	0	0
26523	AGBL1-AS1	0	0	0
27161	AGBL2	0	0	0
192669	AGBL3	9	12	16
192670	AGBL4	0	0	0
10554	AGBL4-IT1	0	0	0
10555	AGBL5	104	116	178
56894	AGBL5-AS1	0	0	1
56895	AGER	4	3	7
79992	AGFG1	351	233	612
55326	AGFG2	120	104	150
8540	AGGF1	422	342	641
10551	AGK	80	37	107
155465	AGL	406	298	594
375790	AGMAT	21	9	24
181	AGMO	0	0	1
183	AGO1	165	159	223
23287	AGO2	455	354	710
185	AGO3	40	32	48
186	AGO4	165	95	192
57085	AGPAT1	101	50	174
189	AGPAT2	68	43	65
64902	AGPAT3	536	516	762
25909	AGPAT4	10	6	11
285116	AGPAT4-IT1	0	0	0
191	AGPAT5	984	813	1391
10768	AGPS	49	36	102
23382	AGR2	284	159	459
27245	AGR3	0	1	3
54806	AGRN	462	433	599
79026	AGRP	0	0	0
113146	AGT	0	0	1
196	AGTPBP1	111	87	151
57491	AGTR1	2	2	9
10598	AGTR2	0	0	0
197	AGTRAP	263	279	380
51327	AGXT	0	0	0
57379	AGXT2	0	0	0
64853	AHCTF1	437	382	691
199	AHCTF1P1	3	6	2
83543	AHCY	410	282	704
9131	AHCYL1	1272	1010	2027
84883	AHCYL2	34	34	45
150209	AHDC1	64	47	54
51390	AHI1	373	351	641
9447	AHNAK	927	815	1337
9255	AHNAK2	11	6	12
7965	AHR	152	109	216
9049	AHRR	8	15	26
23746	AHSA1	1249	933	1410
326	AHSA2	57	40	82
100271873	AHSG	0	0	0
55966	AHSP	0	0	0
