gene_ID	counts	Control1	Control2	Control3
8836	FIBIN	1	6	2
199720	FIBP	378	401	645
449520	FICD	22	28	34
79893	FIG4	49	56	97
9453	FIGLA	0	0	0
2678	FIGN	33	41	56
2679	FIGNL1	425	256	556
2687	FIGNL2	31	21	28
124975	FILIP1	1	0	12
2686	FILIP1L	15	7	24
645367	FIP1L1	336	317	499
92086	FIRRE	12	9	27
91227	FIS1	784	694	1168
2688	FITM1	0	0	2
2689	FITM2	105	109	180
84514	FIZ1	48	43	58
102723099	FJX1	0	0	1
27069	FKBP10	183	173	211
2690	FKBP11	39	20	56
2691	FKBP14	142	108	200
2692	FKBP15	163	208	284
51738	FKBP1A	586	423	624
100126793	FKBP1A-SDCBP2	0	0	0
2693	FKBP1AP1	32	36	59
79018	FKBP1B	56	41	81
54994	FKBP2	805	779	1274
64599	FKBP3	807	649	1269
26058	FKBP4	1005	924	1448
170575	FKBP5	6348	5278	9527
100527949	FKBP6	2	0	0
26157	FKBP7	4	11	10
55303	FKBP8	45	45	34
55340	FKBP9	22	20	49
474344	FKBP9P1	0	0	0
168537	FKBPL	89	71	108
155038	FKRP	28	21	43
100507096	FKSG29	0	0	0
54826	FKTN	150	126	231
116254	FLAD1	131	131	212
9837	FLCN	115	72	111
51659	FLG	2	1	5
64785	FLG-AS1	33	19	45
84296	FLG2	0	0	1
2695	FLI1	0	0	0
10755	FLII	461	464	582
54810	FLJ10038	184	151	274
126326	FLJ12825	1	0	2
2696	FLJ13224	2	2	9
28964	FLJ16779	0	0	0
9815	FLJ20021	25	30	59
2697	FLJ21408	0	1	0
84694	FLJ22447	0	1	0
2700	FLJ22763	0	0	0
2701	FLJ23867	66	53	64
2702	FLJ25758	0	1	0
2703	FLJ27354	0	0	0
81025	FLJ30679	3	0	0
100527950	FLJ31104	1	3	2
2705	FLJ31356	1	0	0
2706	FLJ32255	9	6	10
2707	FLJ33534	0	0	0
127534	FLJ34503	0	0	0
2709	FLJ36000	0	1	0
10804	FLJ37035	6	5	3
375519	FLJ37201	6	9	21
10052	FLJ37453	138	93	198
57165	FLJ38576	4	2	4
349149	FLJ40194	0	0	0
57369	FLJ40288	0	0	0
125111	FLJ41200	0	0	0
219770	FLJ42102	0	0	1
2710	FLJ42351	0	0	2
2712	FLJ42393	1	0	2
256356	FLJ42627	6	13	17
80318	FLJ42969	0	0	0
56287	FLJ43315	2	0	4
200504	FLJ44635	5	7	6
2717	FLJ45513	10	7	6
2720	FLJ46284	0	0	0
79411	FLJ46906	6	3	6
89944	FLNA	424	351	379
112937	FLNB	244	211	427
113263	FLNB-AS1	0	2	1
26035	FLNC	51	46	115
2731	FLOT1	208	177	227
342035	FLOT2	540	488	686
2733	FLRT1	0	1	0
2734	FLRT2	0	0	0
2735	FLRT3	16	13	36
2736	FLT1	1	1	1
2737	FLT3	0	0	0
2738	FLT3LG	1	1	1
389741	FLT4	0	0	0
11010	FLVCR1	202	172	286
256710	FLVCR1-AS1	65	80	108
144321	FLVCR2	5	9	18
152007	FLYWCH1	19	33	31
148979	FLYWCH2	15	14	36
84662	FMC1	473	368	893
101926896	FMN1	0	3	0
169792	FMN2	0	0	0
84850	FMNL1	53	47	45
11146	FMNL2	8	9	7
112770	FMNL3	22	18	24
2739	FMO1	0	0	0
51031	FMO2	1	0	0
392465	FMO3	3	0	7
2740	FMO4	10	9	20
9340	FMO5	30	22	28
2741	FMO6P	0	0	2
2742	FMO9P	0	0	0
8001	FMOD	15	12	36
441509	FMR1	383	406	668
2743	FMR1-AS1	2	0	0
2745	FMR1NB	0	0	0
51022	FN1	28	23	34
10539	FN3K	32	34	52
51218	FN3KRP	114	98	156
2744	FNBP1	171	227	333
27165	FNBP1L	1052	1047	1651
144423	FNBP4	458	374	701
360203	FNDC1	0	0	0
55830	FNDC10	25	23	61
83468	FNDC11	1	0	0
51228	FNDC3A	169	181	315
388323	FNDC3B	135	147	177
2746	FNDC4	2	5	7
2749	FNDC5	2	3	7
2747	FNDC7	0	0	0
2752	FNDC8	0	0	1
10249	FNDC9	1	0	0
92292	FNIP1	245	207	345
219970	FNIP2	149	123	269
389396	FNTA	125	132	226
644076	FNTB	2	4	1
132158	FOCAD	267	206	377
100874110	FOCAD-AS1	0	0	0
84656	FOLH1	114	50	184
2760	FOLH1B	1	1	8
64395	FOLR1	0	0	1
2762	FOLR2	0	0	0
10691	FOLR3	0	0	0
26205	FOPNL	217	118	361
2764	FOS	25	9	39
9535	FOSB	14	10	16
51291	FOSL1	1	0	1
2765	FOSL2	8	10	6
647309	FOXA1	777	587	1254
51053	FOXA2	1	1	0
29926	FOXA3	7	13	18
29925	FOXB1	0	0	0
2766	FOXB2	1	0	0
51292	FOXC1	69	53	117
8833	FOXC2	0	0	0
2767	FOXC2-AS1	0	0	0
2768	FOXCUT	1	2	4
10672	FOXD1	314	291	549
9630	FOXD2	1	0	2
101927422	FOXD2-AS1	2	0	1
2769	FOXD3	0	0	4
2770	FOXD3-AS1	5	0	10
2771	FOXD4	31	28	43
2773	FOXD4L1	1	1	0
2774	FOXD4L3	0	0	0
2775	FOXD4L4	0	0	0
2776	FOXD4L5	0	0	0
2778	FOXD4L6	0	1	0
149775	FOXE1	0	0	0
2779	FOXE3	0	0	0
2780	FOXF1	0	0	0
346562	FOXF2	0	0	0
2781	FOXG1	0	0	4
2782	FOXG1-AS1	0	0	0
54584	FOXH1	0	0	0
2783	FOXI1	0	0	0
2784	FOXI2	0	0	0
59345	FOXI3	0	0	0
10681	FOXJ1	1	0	0
10020	FOXJ2	236	135	291
2790	FOXJ3	171	141	261
2791	FOXK1	328	212	392
55970	FOXK2	340	262	599
100289178	FOXL1	0	0	0
51764	FOXL2	31	18	34
54331	FOXL2NB	0	2	1
2785	FOXM1	418	447	861
2786	FOXN1	0	0	0
2787	FOXN2	64	38	104
2788	FOXN3	62	67	120
94235	FOXN3-AS1	5	4	6
2792	FOXN3-AS2	0	0	0
2793	FOXN4	0	0	0
2794	FOXO1	106	99	167
29889	FOXO3	65	89	117
26354	FOXO3B	14	15	20
54552	FOXO4	66	55	95
10578	FOXO6	46	41	70
27232	FOXP1	427	320	620
8443	FOXP1-AS1	9	10	11
10007	FOXP2	39	28	49
132789	FOXP3	3	0	1
64841	FOXP4	13	16	19
79158	FOXP4-AS1	0	1	2
84572	FOXQ1	2	0	0
2796	FOXR1	2	0	0
2797	FOXR2	0	0	0
2798	FOXRED1	428	327	503
114814	FOXRED2	242	245	325
2799	FOXS1	0	1	0
2800	FPGS	164	112	174
2801	FPGT	40	40	65
80154	FPGT-TNNI3K	0	0	0
255180	FPR1	0	0	0
84559	FPR2	0	0	0
401634	FPR3	0	0	0
55592	FRA10AC1	340	278	553
729668	FRAS1	95	57	152
388152	FRAT1	67	61	107
440518	FRAT2	91	76	119
2802	FREM1	7	6	13
2803	FREM2	45	22	46
9950	FREM3	0	3	6
342096	FRG1	457	333	682
55889	FRG1BP	90	93	110
653641	FRG1CP	50	74	129
653643	FRG1DP	18	15	31
283767	FRG1EP	248	170	348
647042	FRG1HP	9	13	19
642402	FRG1JP	91	48	125
283685	FRG2	0	0	0
440243	FRG2B	0	0	0
643707	FRG2C	2	1	3
374650	FRG2DP	0	0	0
727832	FRG2EP	0	0	2
440295	FRG2KP	0	0	0
51125	FRGCA	0	0	0
401647	FRK	47	67	103
23015	FRMD1	0	2	2
440270	FRMD3	6	4	9
729786	FRMD4A	45	38	53
100132979	FRMD4B	33	24	51
390535	FRMD5	87	76	123
100132565	FRMD6	21	5	27
283768	FRMD6-AS1	17	21	16
728498	FRMD6-AS2	0	0	0
283796	FRMD7	0	0	0
653073	FRMD8	487	477	929
653125	FRMD8P1	0	0	1
653720	FRMPD1	3	6	4
643699	FRMPD2	2	6	2
728047	FRMPD2B	0	0	0
101059918	FRMPD3	0	1	2
653061	FRMPD3-AS1	0	0	0
653075	FRMPD4	1	0	0
2804	FRRS1	25	32	21
27333	FRRS1L	0	0	0
51280	FRS2	166	120	247
64083	FRS3	0	1	2
55204	FRY	51	45	65
127845	FRY-AS1	5	1	7
51026	FRYL	401	360	644
54856	FRZB	2	0	1
84520	FSBP	0	0	0
57120	FSCB	0	0	0
92344	FSCN1	30	12	50
64689	FSCN2	3	3	2
26003	FSCN3	0	0	1
9527	FSD1	0	1	1
9570	FSD1L	52	34	69
2805	FSD2	2	3	7
137362	FSHB	0	0	0
2806	FSHR	0	0	0
2811	FSIP1	6	6	12
2812	FSIP2	30	21	40
2813	FSIP2-AS1	18	10	27
2814	FST	0	4	4
51206	FSTL1	1	3	3
2815	FSTL3	19	20	41
10223	FSTL4	4	1	4
8733	FSTL5	3	6	9
55425	FTCD	1	3	2
57678	FTCDNL1	2	0	4
7918	FTH1	1188	908	1870
150763	FTH1P18	0	0	0
84803	FTH1P3	1	4	7
137964	FTHL17	0	0	0
55094	FTL	426	465	771
253635	FTLP10	0	0	0
55105	FTMT	0	0	0
55668	FTO	106	114	192
63906	FTO-IT1	2	3	4
54865	FTSJ1	52	33	84
23131	FTSJ3	357	404	573
151306	FTX	3	1	2
65056	FUBP1	1105	1009	1602
60313	FUBP3	213	155	274
2817	FUCA1	108	107	224
221914	FUCA2	328	288	443
2719	FUK	84	80	129
2239	FUNDC1	177	125	245
2262	FUNDC2	34	48	78
100873969	FUNDC2P2	0	1	0
100873970	FUOM	105	108	128
10082	FURIN	120	97	170
100873972	FUS	1418	1204	2162
100873973	FUT1	40	44	85
56261	FUT10	34	21	21
2819	FUT11	33	30	40
23171	FUT2	3	0	1
2820	FUT3	0	0	1
2852	FUT4	22	22	33
170589	FUT5	0	0	0
122876	FUT6	0	0	0
10243	FUT7	0	1	0
2821	FUT8	64	45	94
338328	FUT8-AS1	0	0	0
27238	FUT9	0	0	0
2822	FUZ	1	3	0
2823	FXN	58	37	99
2824	FXR1	932	844	1532
11321	FXR2	931	790	1276
54707	FXYD1	0	0	0
51184	FXYD2	0	0	0
10457	FXYD3	1521	1156	1964
83550	FXYD4	0	0	0
57720	FXYD5	0	1	2
56927	FXYD6	0	0	0
139760	FXYD6-FXYD2	0	0	0
2835	FXYD7	0	0	0
29933	FYB	0	0	0
64582	FYCO1	114	90	158
56834	FYN	4	5	10
7107	FYTTD1	439	277	626
283554	FZD1	159	121	240
124274	FZD10	0	0	0
353345	FZD10-AS1	0	0	0
350383	FZD2	11	3	6
4935	FZD3	255	183	383
115330	FZD4	58	57	90
344561	FZD5	382	303	514
344758	FZD6	177	135	262
2838	FZD7	0	0	5
285601	FZD8	57	52	121
134391	FZD9	71	37	68
390212	FZR1	89	62	114
387509	G0S2	1	1	2
151556	G2E3	209	165	331
165829	G3BP1	935	703	1277
80045	G3BP2	1294	1020	1770
57512	G6PC	2	0	0
100128811	G6PC2	0	0	0
26996	G6PC3	143	163	172
23432	G6PD	19	19	34
27239	GAA	195	121	293
2840	GAB1	9	13	32
29909	GAB2	26	25	61
54328	GAB3	2	0	1
84636	GAB4	0	0	0
11245	GABARAP	2006	1764	2932
440435	GABARAPL1	129	110	160
2841	GABARAPL2	1069	755	2187
160897	GABARAPL3	0	0	0
1880	GABBR1	12	8	7
2842	GABBR2	9	11	23
2843	GABPA	99	57	171
2844	GABPB1	87	55	115
2845	GABPB1-AS1	99	112	176
2848	GABPB2	263	132	417
2849	GABRA1	19	15	31
2850	GABRA2	9	7	14
2827	GABRA3	6	7	6
2853	GABRA4	0	0	0
2854	GABRA5	0	0	0
2856	GABRA6	0	0	0
2857	GABRB1	12	9	9
2859	GABRB2	43	26	51
2861	GABRB3	113	112	237
9283	GABRD	2	1	1
2863	GABRE	3	1	3
2828	GABRG1	0	0	0
2866	GABRG2	0	1	0
11250	GABRG3	0	0	0
9248	GABRG3-AS1	0	0	0
100128688	GABRP	0	0	0
9293	GABRQ	3	0	7
9290	GABRR1	0	0	0
2830	GABRR2	0	0	2
83873	GABRR3	0	0	0
118442	GACAT1	0	0	0
81491	GACAT2	0	0	0
8477	GACAT3	0	0	0
8111	GAD1	44	52	72
10936	GAD2	0	0	0
100302652	GADD45A	120	112	181
27201	GADD45B	98	64	129
27197	GADD45G	371	300	461
10888	GADD45GIP1	351	346	449
53831	GADL1	0	0	0
54329	GAGE1	0	0	3
53836	GAGE10	0	0	0
54112	GAGE12B	0	0	0
653519	GAGE12C	0	0	0
51463	GAGE12D	0	0	0
9737	GAGE12E	0	0	0
114928	GAGE12F	0	0	0
9052	GAGE12G	0	0	0
51704	GAGE12H	0	0	0
55890	GAGE12I	0	0	0
55507	GAGE12J	0	0	0
222545	GAGE13	0	0	0
114787	GAGE2A	0	0	0
9721	GAGE2B	0	0	0
285513	GAGE2C	0	0	0
2873	GAGE2D	0	0	0
2874	GAGE2E	0	0	0
26086	GAGE4	0	0	0
29899	GAGE5	0	0	0
63940	GAGE6	0	0	0
2875	GAGE7	0	0	0
84706	GAGE8	0	0	0
2876	GAK	354	351	430
2877	GAL	33	18	30
2878	GAL3ST1	11	12	24
2879	GAL3ST2	0	0	0
2880	GAL3ST3	0	0	0
257202	GAL3ST4	5	4	9
2882	GALC	53	54	79
493869	GALE	85	79	137
57655	GALK1	79	61	108
57476	GALK2	96	70	192
54762	GALM	144	119	203
23151	GALNS	43	37	60
10750	GALNT1	621	497	929
9402	GALNT10	53	70	93
400581	GALNT11	241	174	417
2887	GALNT12	91	67	152
2888	GALNT13	0	0	0
2885	GALNT14	0	0	0
2886	GALNT15	1	0	0
9687	GALNT16	2	1	2
80000	GALNT18	107	56	211
26585	GALNT2	121	92	166
64388	GALNT3	32	27	32
29841	GALNT4	0	0	0
79977	GALNT5	3	0	5
57822	GALNT6	0	5	2
9380	GALNT7	1899	1135	2467
2890	GALNT8	0	0	0
2891	GALNT9	0	0	0
2892	GALNTL5	0	0	0
2893	GALNTL6	4	3	6
2894	GALP	0	0	0
100507470	GALR1	0	0	0
2895	GALR2	9	13	16
392862	GALR3	0	3	1
402635	GALT	105	111	145
2897	GAMT	174	155	216
642976	GAN	33	27	51
100379661	GANAB	2430	1683	2877
2898	GANC	35	18	45
2899	GAP43	1	6	7
2900	GAPDH	10658	10170	12050
2901	GAPDHS	0	1	0
2902	GAPLINC	0	0	0
2903	GAPT	0	0	0
2904	GAPVD1	345	333	472
2905	GAR1	349	223	567
2906	GAREM1	19	3	17
116443	GAREM2	28	29	36
116444	GARNL3	4	7	4
2907	GARS	551	459	769
23426	GART	418	404	716
80852	GAS1	0	0	0
56850	GAS1RR	0	0	0
6011	GAS2	210	165	310
156	GAS2L1	333	221	388
157	GAS2L1P2	0	0	1
2868	GAS2L2	0	0	0
2869	GAS2L3	255	211	396
2870	GAS5	244	190	417
2871	GAS5-AS1	5	3	5
131890	GAS6	12	6	16
2911	GAS6-AS1	22	14	14
2912	GAS6-AS2	0	0	2
2913	GAS7	0	0	0
2914	GAS8	89	110	93
2915	GAS8-AS1	3	1	9
100873989	GAST	0	0	0
2916	GATA1	0	0	0
2917	GATA2	74	51	109
100873937	GATA2-AS1	182	211	300
105376946	GATA3	169	140	283
101927347	GATA3-AS1	9	15	20
2918	GATA4	0	0	0
2896	GATA5	4	1	8
2922	GATA6	15	15	24
80273	GATA6-AS1	10	5	12
134266	GATAD1	381	347	487
106144529	GATAD2A	327	273	475
2925	GATAD2B	291	258	446
2926	GATB	64	49	99
79774	GATC	189	179	322
100874068	GATD1	179	169	221
83743	GATM	1	0	2
389207	GATS	121	121	191
643226	GBA	25	19	27
100652791	GBA2	38	43	46
100288079	GBA3	2	0	1
100093698	GBAP1	13	4	21
54103	GBAT2	0	2	0
145258	GBE1	182	130	329
2928	GBF1	369	418	573
284110	GBGT1	0	0	0
55876	GBP1	4	0	1
56169	GBP1P1	1	0	0
79792	GBP2	3	2	9
23199	GBP3	1	0	4
399972	GBP4	1	0	3
83445	GBP5	1	0	0
146395	GBP6	0	1	2
644070	GBP7	9	18	6
2931	GBX1	0	0	0
2932	GBX2	2	0	3
51527	GC	0	0	0
2934	GCA	67	63	111
57000	GCAT	159	213	264
2935	GCC1	317	270	473
23708	GCC2	448	396	792
2936	GCC2-AS1	1	1	0
2937	GCDH	81	76	99
2938	GCFC2	239	206	393
2939	GCG	2	3	0
2940	GCGR	0	0	0
2941	GCH1	183	143	297
221357	GCHFR	363	287	482
730152	GCK	1	5	5
79807	GCKR	0	0	0
373156	GCLC	144	122	202
2944	GCLM	306	235	473
2946	GCM1	1	0	2
442245	GCM2	0	0	0
2947	GCN1	779	694	1210
2948	GCNA	10	12	9
2949	GCNT1	322	207	415
9446	GCNT2	0	3	6
119391	GCNT3	13	3	7
2950	GCNT4	0	0	0
2952	GCNT7	5	5	7
106099130	GCOM1	0	0	0
2953	GCSAM	3	4	6
653689	GCSAML	0	0	0
653399	GCSAML-AS1	0	0	0
2954	GCSH	12	19	28
219409	GCSHP3	69	53	112
170825	GDA	6	2	4
2957	GDAP1	189	157	361
11036	GDAP1L1	0	0	0
2958	GDAP2	91	89	118
2959	GDE1	726	617	894
2960	GDF1	0	0	0
2961	GDF10	0	1	0
2962	GDF11	149	154	187
2963	GDF15	3016	2277	3871
2965	GDF2	0	0	0
2966	GDF3	0	0	0
653238	GDF5	0	0	0
728340	GDF6	0	0	1
730394	GDF7	0	0	0
2967	GDF9	7	2	4
2968	GDI1	173	186	306
404672	GDI2	623	567	1030
2969	GDNF	9	7	9
2970	GDNF-AS1	1	0	0
101926918	GDPD1	61	76	107
441124	GDPD2	1	0	0
101929580	GDPD3	3	1	5
100093631	GDPD4	0	0	0
101927126	GDPD5	1	2	1
9569	GDPGP1	1	4	7
729156	GEM	5	2	0
84163	GEMIN2	74	57	93
389524	GEMIN4	99	80	149
2971	GEMIN5	117	113	190
2975	GEMIN6	94	91	154
2976	GEMIN7	26	23	20
100505624	GEMIN8	70	54	81
9330	GEMIN8P4	13	9	18
9329	GEN1	172	146	245
9328	GET4	134	114	234
112495	GFAP	0	0	0
9567	GFER	105	123	125
85865	GFI1	20	23	41
54676	GFI1B	0	0	0
84705	GFM1	509	459	716
23560	GFM2	81	73	137
8225	GFOD1	106	113	164
29083	GFOD2	92	102	182
220158	GFPT1	957	683	1390
51512	GFPT2	1	0	1
121355	GFRA1	0	0	1
149699	GFRA2	0	0	0
2978	GFRA3	2	0	0
2979	GFRA4	0	0	0
9626	GFRAL	0	0	0
2980	GFY	4	1	3
2981	GGA1	402	289	463
83606	GGA2	265	175	273
2977	GGA3	94	90	114
2974	GGACT	51	23	94
2984	GGCT	1362	1262	2833
3000	GGCX	117	75	241
390226	GGH	299	229	515
2986	GGN	3	0	3
390003	GGNBP1	0	0	0
60558	GGNBP2	801	786	1405
2987	GGPS1	281	260	417
51454	GGT1	7	3	5
2990	GGT3P	0	0	0
728411	GGT5	0	0	0
642006	GGT6	1	0	0
91316	GGT7	140	86	123
387036	GGT8P	1	1	2
653188	GGTA1P	2	0	0
375513	GGTLC1	0	0	0
441046	GGTLC2	1	0	0
118126072	GH1	0	0	0
387751	GH2	0	0	0
283464	GHDC	32	40	43
100132541	GHET1	20	16	18
727936	GHITM	1352	1141	2236
2992	GHR	57	23	42
8908	GHRH	0	0	0
352887	GHRHR	0	2	2
2993	GHRL	0	0	0
2994	GHRLOS	34	27	33
2995	GHSR	0	0	0
2996	GID4	72	46	101
2997	GID8	458	334	686
2998	GIF	0	0	0
64412	GIGYF1	110	87	145
3001	GIGYF2	1128	993	1587
3002	GIMAP1	0	0	0
2999	GIMAP1-GIMAP5	0	0	0
3003	GIMAP2	0	0	0
3004	GIMAP4	0	0	0
283120	GIMAP5	0	0	0
9563	GIMAP6	0	0	0
23498	GIMAP7	0	0	0
3026	GIMAP8	0	0	0
22927	GIMD1	0	0	0
9200	GIN1	47	44	85
201562	GINM1	304	307	483
51495	GINS1	249	211	399
401494	GINS2	314	237	535
57531	GINS3	231	203	322
26061	GINS4	208	150	285
3033	GIP	0	0	0
3030	GIPC1	402	320	456
3032	GIPC2	0	0	0
3029	GIPC3	91	78	148
84264	GIPR	8	4	12
401022	GIT1	776	638	795
102800310	GIT2	120	116	211
3034	GJA1	2	4	2
57817	GJA10	0	0	0
9421	GJA3	1	1	0
9464	GJA4	0	0	0
79804	GJA5	0	0	0
54363	GJA8	0	0	0
51179	GJA9	0	0	0
100874270	GJA9-MYCBP	1	1	1
9001	GJB1	35	40	69
1404	GJB2	3	1	0
60484	GJB3	0	0	0
145864	GJB4	0	1	4
404037	GJB5	0	1	0
768096	GJB6	0	0	0
768097	GJB7	2	0	1
283254	GJC1	90	71	76
23438	GJC2	9	5	10
3036	GJC3	2	5	7
3037	GJD2	0	0	0
594842	GJD3	0	2	2
3038	GJD4	0	0	0
8520	GK	36	27	39
115106	GK2	0	0	0
55142	GK3P	0	0	0
79441	GK5	158	161	240
54930	GKAP1	105	107	172
23354	GKN1	0	0	0
54801	GKN2	0	0	0
55559	GLA	49	38	108
93323	GLB1	221	149	289
26762	GLB1L	116	127	165
100101266	GLB1L2	26	18	28
84868	GLB1L3	0	0	0
10456	GLCCI1	67	38	89
3039	GLCE	21	14	24
3040	GLDC	2	0	1
3043	GLDN	19	17	18
3044	GLE1	726	656	1175
3045	GLG1	521	516	847
100187828	GLI1	1	3	0
3046	GLI2	0	0	0
1839	GLI3	81	59	88
3047	GLI4	5	1	4
3048	GLIDR	3	3	3
3042	GLIPR1	5	4	7
26959	GLIPR1L1	9	3	5
3049	GLIPR1L2	0	1	0
10767	GLIPR2	22	17	31
3050	GLIS1	1	0	0
27198	GLIS2	22	20	54
338442	GLIS2-AS1	0	0	0
8843	GLIS3	77	58	122
283902	GLIS3-AS1	3	1	2
3052	GLMN	69	68	147
3054	GLMP	429	323	560
100873990	GLO1	1312	1053	2023
54985	GLOD4	232	180	361
29915	GLOD5	0	0	0
493812	GLP1R	0	0	0
414760	GLP2R	0	1	0
414761	GLRA1	0	0	0
414778	GLRA2	2	0	5
414777	GLRA3	0	0	2
105375013	GLRA4	0	0	0
102723346	GLRB	26	14	13
285834	GLRX	6	12	19
414764	GLRX2	358	284	599
414768	GLRX3	191	145	332
414765	GLRX5	683	573	946
352961	GLS	389	273	559
253018	GLS2	81	54	108
54435	GLT1D1	0	0	0
80868	GLT6D1	0	0	0
10255	GLT8D1	69	69	117
3055	GLT8D2	5	2	7
3059	GLTP	258	279	404
348980	GLTPD2	2	1	2
610	GLUD1	516	377	815
57657	GLUD1P3	70	48	83
10021	GLUD1P7	0	0	1
10866	GLUD2	6	5	5
352990	GLUL	97	97	152
3060	GLYAT	0	0	2
3061	GLYATL1	229	198	408
3062	GLYATL2	0	0	1
10870	GLYATL3	0	0	1
3065	GLYCAM1	0	0	0
83933	GLYCTK	19	15	23
79885	GLYCTK-AS1	0	0	0
100874101	GLYR1	434	428	794
3066	GM2A	17	22	28
101927768	GMCL1	363	340	550
8841	GMCL1P1	0	2	0
9759	GMDS	332	225	379
10014	GMDS-AS1	13	3	9
10013	GMEB1	110	79	150
51564	GMEB2	131	99	242
55869	GMFB	280	191	372
9734	GMFG	0	0	1
3067	GMIP	13	18	34
51020	GML	0	0	0
374659	GMNC	2	1	6
3068	GMNN	722	552	1052
154150	GMPPA	55	27	58
84064	GMPPB	127	99	220
81932	GMPR	6	3	12
27440	GMPR2	113	128	241
100130717	GMPS	209	191	314
3069	GNA11	567	455	689
139324	GNA12	141	119	215
55127	GNA13	80	70	144
55027	GNA14	4	5	6
399671	GNA14-AS1	0	0	0
25938	GNA15	3	0	1
54497	GNAI1	10	12	31
63897	GNAI2	881	818	1231
256957	GNAI3	421	354	673
50865	GNAL	11	8	9
23593	GNAO1	3	4	1
51696	GNAQ	360	266	511
25831	GNAS	1028	966	1821
143279	GNAS-AS1	0	0	0
100188947	GNAT1	0	0	1
79654	GNAT2	6	3	7
283450	GNAT3	0	0	0
23072	GNAZ	27	31	42
100127950	GNB1	964	787	1364
57520	GNB1L	23	16	32
57493	GNB2	1382	540	1613
100859930	GNB3	16	3	21
92797	GNB4	32	34	52
3070	GNB5	120	75	128
113510	GNE	46	34	74
391723	GNG10	0	0	0
9931	GNG11	0	0	0
85441	GNG12	136	134	220
55363	GNG12-AS1	0	2	0
51409	GNG13	0	3	2
113802	GNG2	0	0	0
220296	GNG3	0	0	0
253012	GNG4	98	85	115
9843	GNG5	251	202	451
341208	GNG7	40	33	37
641654	GNG8	0	0	0
8925	GNGT1	0	0	1
8924	GNGT2	0	0	0
390561	GNL1	368	249	442
100996738	GNL2	354	345	664
400322	GNL3	552	522	794
283755	GNL3L	589	525	693
100289574	GNLY	0	0	0
100132101	GNMT	0	0	2
440248	GNPAT	176	152	244
8916	GNPDA1	293	203	372
26091	GNPDA2	101	77	115
51191	GNPNAT1	716	491	1071
55008	GNPTAB	374	308	494
9709	GNPTG	114	81	200
64224	GNRH1	9	9	12
3280	GNRH2	0	0	0
54626	GNRHR	10	2	4
390992	GNRHR2	0	1	1
57801	GNS	517	420	685
388585	GOLGA1	217	230	362
55502	GOLGA2	1387	1300	1601
84667	GOLGA2P10	3	0	0
8820	GOLGA2P11	0	0	0
3073	GOLGA2P2Y	0	0	0
80072	GOLGA2P3Y	0	0	0
3074	GOLGA2P5	159	180	271
10614	GOLGA2P6	0	0	0
124790	GOLGA2P7	4	4	5
23462	GOLGA2P9	0	0	0
23493	GOLGA3	1173	977	1871
26508	GOLGA4	1352	1285	2535
3077	GOLGA5	197	193	300
164045	GOLGA6A	0	0	0
100128124	GOLGA6B	0	0	0
3081	GOLGA6C	0	0	0
3082	GOLGA6D	0	0	0
3083	GOLGA6L1	0	0	0
51236	GOLGA6L10	2	0	4
9146	GOLGA6L17P	0	0	0
138050	GOLGA6L2	0	0	0
55733	GOLGA6L22	0	0	0
57467	GOLGA6L3	0	0	0
3087	GOLGA6L4	0	0	0
64399	GOLGA6L5P	0	0	0
646576	GOLGA6L6	0	0	0
84439	GOLGA6L7P	0	0	0
79802	GOLGA6L9	18	14	24
10086	GOLGA7	344	234	558
11148	GOLGA7B	0	2	1
11112	GOLGA8A	28	11	51
26275	GOLGA8B	51	39	76
3090	GOLGA8CP	0	0	0
23119	GOLGA8DP	0	0	0
283987	GOLGA8EP	0	0	0
102723641	GOLGA8F	0	0	0
3091	GOLGA8G	0	0	0
100750246	GOLGA8H	0	0	0
100750247	GOLGA8IP	0	0	0
55662	GOLGA8J	0	0	0
64344	GOLGA8K	0	0	0
25994	GOLGA8M	0	0	0
51751	GOLGA8N	0	0	1
613227	GOLGA8O	0	0	0
192286	GOLGA8R	0	0	4
123346	GOLGA8S	0	0	0
51501	GOLGA8T	0	0	0
29923	GOLGB1	2742	2538	4572
25988	GOLIM4	439	419	719
3094	GOLM1	112	93	142
84681	GOLPH3	285	189	593
135114	GOLPH3L	202	185	345
3092	GOLT1A	72	71	99
9026	GOLT1B	141	107	255
204851	GON4L	283	325	519
101928846	GON7	96	65	132
28996	GOPC	369	300	539
10114	GORAB	79	42	119
147746	GORASP1	72	54	103
7290	GORASP2	101	93	166
8479	GOSR1	443	305	546
3096	GOSR2	87	63	135
3097	GOT1	646	489	1079
59269	GOT1L1	0	0	0
55355	GOT2	814	847	1071
3098	GP1BA	0	9	10
3099	GP1BB	0	0	0
3101	GP2	0	0	0
80201	GP5	0	0	0
3105	GP6	2	0	0
3106	GP9	0	0	0
3107	GPA33	0	0	0
3108	GPAA1	724	667	860
3109	GPALPP1	169	155	247
3111	GPAM	99	76	139
3112	GPANK1	295	225	337
3113	GPAT2	9	10	12
3115	GPAT3	29	26	34
3116	GPAT4	299	290	428
3117	GPATCH1	124	103	167
3118	GPATCH11	331	275	554
3119	GPATCH2	336	306	538
106480429	GPATCH2L	329	319	504
3120	GPATCH3	89	79	127
3122	GPATCH4	1099	1029	1663
3123	GPATCH8	417	372	662
3125	GPBAR1	0	0	0
3126	GPBP1	575	460	911
