gene_id	Ensamble	gene_name	BPH-1-1	BPH-1-2	BPH-1-3	BPH-1-4	DU145-1	DU145-2	DU145-3	DU145-4	PC3-1	PC3-2	PC3-3	PC3-4
	ENSG00000230510	PPP5D1	1.107747067	1.119084175	1.161401228	1.043776914	1.024764619	1.086060722	1.301634539	0.778016492	1.099070563	0.68066031	0.775279159	0.854714621
125997	ENSG00000230522	MBD3L2	0	0	0	0	0	0	0	0	0	0.184019522	0	0
401447	ENSG00000230549	USP17L1	0	0.041113998	0.080883547	0.12065092	0	0	0	0	0	0.045802725	0.045234651	0.048459965
728586	ENSG00000230561	CCDC192	0	0	0	0	0	0	0	0	0	0	0	0
728075	ENSG00000230594	CT47A4	0	0	0	0	0	0	0	0	0	0	0	0
100505478	ENSG00000230601	TEX48	0	0	0	0	2.437007286	0.859146094	2.22899138	1.519188666	0	0.464642064	0.642838198	0.196679552
	ENSG00000230626	AC011005.1	2.25938779	2.438153667	2.499163845	2.435159095	6.205250557	3.738071978	6.567726584	4.190052659	2.751157232	3.061110102	4.109578344	3.667711461
5545	ENSG00000230657	PRB4	0	0	0	0	0	0	0	0	0	0	0	0
646817	ENSG00000230667	SETSIP	5.440822512	4.800269794	4.791646138	4.515383801	2.864620762	2.709068152	2.138405971	3.33495022	2.332038855	2.896619674	2.096557284	1.468111605
100131244	ENSG00000230778	ANKRD63	0.226948091	0.171960603	0.112727463	0.112100855	0.269967713	0.107286917	0.283479829	0.326083735	0.202675383	0	0.126150244	0.135077383
404281	ENSG00000230797	YY2	1.656272616	3.298630464	2.021111582	1.566234291	0.202628951	0.827656324	0.118211399	0.7342167	0.507066344	0.691940591	0.39449645	0.225336565
401236	ENSG00000230873	STMND1	0.041893034	0.063485455	0	0	0.63783169	0.613927373	0.37676447	0.577792201	0	0	0	0.049868685
3281	ENSG00000230989	HSBP1	8.617618132	14.69146131	8.435799858	10.39506208	4.723517597	5.881855074	6.756059818	6.952597402	5.401950957	5.650244759	6.196960465	5.111696443
728400	ENSG00000231051	USP17L28	0	0	0	0	0	0	0	0	0	0	0	0
100288323	ENSG00000231068	KRTAP21-3	0	0	0	0	0	0	0	0	0	0	0	0
26341	ENSG00000231192	OR5H1	0	0	0	0	0	0	0	0	0	0	0	0
389158	ENSG00000231213	PLSCR5	0	0	0	0	0	0	0	0	0	0	0	0
284067	ENSG00000231256	CFAP97D1	0	0.046620249	0.015280774	0	0.029273347	0.087259687	0.030741693	0.053046329	0.054947335	0	0.017091745	0.036620837
100130827	ENSG00000231274	SBK3	0.202803934	0.245842363	0.120870065	0.280503134	1.23497618	0.498473189	1.377975394	0.839045335	0	0.136845866	0.270524819	0.386271123
3113	ENSG00000231389	HLA-DPA1	0.772239674	1.156290304	0.664306201	0.735714397	0.537982748	0.417187671	0.179136163	0.134715717	0.01642196	0.031020655	0	0.008207179
100287144	ENSG00000231396	USP17L10	0	0	0	0	0	0	0.019817581	0	0.070843414	0.02231307	0	0.023607561
6222	ENSG00000231500	RPS18	63.04817916	81.2158996	76.88955797	81.28131007	131.8648925	94.3581517	155.1775587	110.0705471	63.60203272	74.80038202	74.77925457	87.37234851
728405	ENSG00000231637	USP17L29	0	0	0	0	0	0	0	0	0	0	0	0
144448	ENSG00000231738	TSPAN19	0	0	0	0	0	0	0	0	0	0.025246969	0	0
100271374	ENSG00000231767	AL136454.1	15.58730982	13.77858741	13.82346645	14.30014392	21.85023101	19.34149997	25.7272566	18.55398707	13.0902645	15.49719446	14.38686997	13.75105514
642597	ENSG00000231824	AKAIN1	0	0	0	0	0	0	0	0	0	0	0	0
1589	ENSG00000231852	CYP21A2	0	0.007192466	0	0	0.006780171	0.013466829	0.014233141	0.024559996	0	0	0	0.016955134
402135	ENSG00000231861	OR5K2	0	0	0	0	0	0	0	0	0.145721653	0	0	0
5554	ENSG00000231887	PRH1	0.140996235	0.160231768	0	0	0.016777238	0.683115184	0.563525999	0.58737999	0	0.158576239	0	0
5669	ENSG00000231924	PSG1	0.01228693	0.031035178	0.042715262	0.024282644	0.111073143	0.243951196	0.018417058	0.190648728	0.007312714	0	0	0
6892	ENSG00000231925	TAPBP	30.28188072	40.5202431	24.08140929	17.53948152	40.51548424	22.13813301	41.05572541	20.85737874	16.78302221	13.26980692	15.43640076	15.49252542
153743	ENSG00000231989	PPP1R2B	3.550560788	3.553977517	4.594280807	3.700981481	2.572547424	3.295108016	3.157240827	3.6313167	2.171808888	2.418087372	1.810374031	1.744962958
392433	ENSG00000232030	MAGEB6B	0	0	0	0	0	0	0	0	0	0	0	0
114821	ENSG00000232040	ZBED9	0.887573635	1.219863486	1.055847022	1.345952436	0.245502449	0.468337948	0.257821651	0.308388772	0.282621223	0.197340048	0.172074279	0.17200853
643382	ENSG00000232070	TMEM253	0.343049762	0.450532696	0.25554836	0.54229718	0.571246648	0.29189646	0.634169035	0.611115776	0.02041603	0.019297472	0	0
51372	ENSG00000232112	TMA7	16.06317758	11.24910348	13.26457574	13.15704655	28.74334199	20.23636449	38.79265964	23.47623285	47.02836023	46.54337114	55.02853575	65.24809698
730159	ENSG00000232113	TEX50	0	0	0	0	0	0	0	0	0	0	0	0
