"Entrez_ID"	"Gene_symbol"	"Gene_name"	"mRNA_size"	"Frag_count"	"FPM"	"FPKM"
84569	"LYZL1"	"lysozyme like 1"	1132	0	0	0
84570	"COL25A1"	"collagen type XXV alpha 1 chain"	6653	104	4.40998774	0.662857018
84572	"GNPTG"	"N-acetylglucosamine-1-phosphate transferase gamma subunit"	4102	1499	63.56318868	15.49565789
84612	"PARD6B"	"par-6 family cell polarity regulator beta"	4726	144	6.106136871	1.292030654
84614	"ZBTB37"	"zinc finger and BTB domain containing 37"	19464	273	11.57621782	0.594750196
84616	"KRTAP4-4"	"keratin associated protein 4-4"	1081	0	0	0
84617	"TUBB6"	"tubulin beta 6 class V"	4117	107	4.537198925	1.102064349
84618	"NT5C1A"	"5'-nucleotidase, cytosolic IA"	1107	0	0	0
84619	"ZGPAT"	"zinc finger CCCH-type and G-patch domain containing"	3335	88	3.731528088	1.118898977
84620	"ST6GAL2"	"ST6 beta-galactoside alpha-2,6-sialyltransferase 2"	7708	477	20.22657839	2.624102022
84622	"ZNF594"	"zinc finger protein 594"	4651	349	14.79890117	3.181875116
84623	"KIRREL3"	"kirre like nephrin family adhesion molecule 3"	6599	41	1.738552859	0.263457018
84624	"FNDC1"	"fibronectin type III domain containing 1"	6854	1	0.042403728	0.006186713
84626	"KRBA1"	"KRAB-A domain containing 1"	5337	1096	46.47448619	8.707979424
84627	"ZNF469"	"zinc finger protein 469"	13203	25	1.060093207	0.080291843
84628	"NTNG2"	"netrin G2"	7845	307	13.01794458	1.659393828
84629	"TNRC18"	"trinucleotide repeat containing 18"	12572	4036	171.1414473	13.61290545
84630	"TTBK1"	"tau tubulin kinase 1"	7503	6	0.25442237	0.033909419
84631	"SLITRK2"	"SLIT and NTRK like family member 2"	3159	12	0.508844739	0.16107779
84632	"AFAP1L2"	"actin filament associated protein 1 like 2"	5789	206	8.735168024	1.508925207
84634	"KISS1R"	"KISS1 receptor"	1680	11	0.466441011	0.277643459
84636	"GPR174"	"G protein-coupled receptor 174"	1258	0	0	0
84639	"IL1F10"	"interleukin 1 family member 10"	1597	0	0	0
84640	"USP38"	"ubiquitin specific peptidase 38"	7787	850	36.04316903	4.628633496
84641	"MFSD14B"	"major facilitator superfamily domain containing 14B"	3428	2484	105.330861	30.72662224
84643	"KIF2B"	"kinesin family member 2B"	2313	0	0	0
84645	"C22orf23"	"chromosome 22 open reading frame 23"	2299	23	0.97528575	0.424221727
84647	"PLA2G12B"	"phospholipase A2 group XIIB"	1128	0	0	0
84648	"LCE3D"	"late cornified envelope 3D"	613	0	0	0
84649	"DGAT2"	"diacylglycerol O-acyltransferase 2"	7905	2583	109.5288301	13.85563948
84650	"EBPL"	"emopamil binding protein like"	1500	591	25.06060341	16.70706894
84651	"SPINK7"	"serine peptidase inhibitor, Kazal type 7 (putative)"	1545	0	0	0
84654	"SPZ1"	"spermatogenic leucine zipper 1"	1868	0	0	0
84656	"GLYR1"	"glyoxylate reductase 1 homolog"	5470	3770	159.8620556	29.22523868
84657	"LINC00852"	"long intergenic non-protein coding RNA 852"	1328	5	0.212018641	0.159652591
84658	"ADGRE3"	"adhesion G protein-coupled receptor E3"	2837	0	0	0
84659	"RNASE7"	"ribonuclease A family member 7"	1499	4	0.169614913	0.113152043
84660	"CCDC62"	"coiled-coil domain containing 62"	4479	9	0.381633554	0.08520508
84661	"DPY30"	"dpy-30, histone methyltransferase complex regulatory subunit"	631	1549	65.68337509	104.0940968
84662	"GLIS2"	"GLIS family zinc finger 2"	8938	436	18.48802553	2.06847455
84665	"MYPN"	"myopalladin"	7060	2	0.084807457	0.012012388
84666	"RETNLB"	"resistin like beta"	1106	0	0	0
84667	"HES7"	"hes family bHLH transcription factor 7"	1868	10	0.424037283	0.227000687
84668	"FAM126A"	"family with sequence similarity 126 member A"	13961	429	18.19119943	1.303001177
84669	"USP32"	"ubiquitin specific peptidase 32"	7411	2743	116.3134266	15.69470067
84671	"ZNF347"	"zinc finger protein 347"	9131	907	38.46018154	4.212044852
84672	"TTTY6"	"testis-specific transcript, Y-linked 6 (non-protein coding)"	982	0	0	0
84673	"TTTY8"	"testis-specific transcript, Y-linked 8 (non-protein coding)"	1416	0	0	0
84674	"CARD6"	"caspase recruitment domain family member 6"	4399	29	1.22970812	0.279542651
84675	"TRIM55"	"tripartite motif containing 55"	3081	2	0.084807457	0.027525951
84676	"TRIM63"	"tripartite motif containing 63"	2573	1	0.042403728	0.016480267
84677	"DSCR8"	"Down syndrome critical region 8 (non-protein coding)"	1472	243	10.30410597	7.00007199
84678	"KDM2B"	"lysine demethylase 2B"	13623	668	28.32569049	2.079254972
84679	"SLC9A7"	"solute carrier family 9 member A7"	10033	3231	137.006446	13.65558119
84680	"ACCS"	"1-aminocyclopropane-1-carboxylate synthase homolog (inactive)"	5826	517	21.92272752	3.762912378
84681	"HINT2"	"histidine triad nucleotide binding protein 2"	2395	1190	50.46043664	21.06907584
84684	"INSM2"	"INSM transcriptional repressor 2"	3013	446	18.91206281	6.276821377
84687	"PPP1R9B"	"protein phosphatase 1 regulatory subunit 9B"	4298	3204	135.8615454	31.61041074
84688	"C9orf24"	"chromosome 9 open reading frame 24"	1439	39	1.653745403	1.149232385
84689	"MS4A14"	"membrane spanning 4-domains A14"	4006	0	0	0
84690	"SPATA22"	"spermatogenesis associated 22"	2419	0	0	0
84691	"FAM71F1"	"family with sequence similarity 71 member F1"	2521	0	0	0
84692	"CCDC54"	"coiled-coil domain containing 54"	1444	0	0	0
84693	"MCEE"	"methylmalonyl-CoA epimerase"	1624	273	11.57621782	7.128212942
84694	"GJA10"	"gap junction protein alpha 10"	1652	0	0	0
84695	"LOXL3"	"lysyl oxidase like 3"	4363	188	7.971900915	1.827160421
84696	"ABHD1"	"abhydrolase domain containing 1"	1731	109	4.622006382	2.670136558
84698	"CAPS2"	"calcyphosine 2"	6689	44	1.865764044	0.27893019
84699	"CREB3L3"	"cAMP responsive element binding protein 3 like 3"	2678	0	0	0
84700	"MYO18B"	"myosin XVIIIB"	9706	7	0.296826098	0.030581712
84701	"COX4I2"	"cytochrome c oxidase subunit 4I2"	693	0	0	0
84705	"GTPBP3"	"GTP binding protein 3, mitochondrial"	4526	2334	98.97030179	21.8670574
84706	"GPT2"	"glutamic--pyruvic transaminase 2"	6354	2018	85.57072365	13.46722122
84707	"BEX2"	"brain expressed X-linked 2"	1176	150	6.360559241	5.40863881
84708	"LNX1"	"ligand of numb-protein X 1"	5725	171	7.251037534	1.266556775
84709	"MGARP"	"mitochondria localized glutamic acid rich protein"	1607	8	0.339229826	0.2110951
84717	"HDGFL2"	"HDGF like 2"	4299	572	24.25493257	5.641994085
84720	"PIGO"	"phosphatidylinositol glycan anchor biosynthesis class O"	7209	2022	85.74033856	11.89351346
84722	"PSRC1"	"proline and serine rich coiled-coil 1"	2855	508	21.54109396	7.545041668
84725	"PLEKHA8"	"pleckstrin homology domain containing A8"	10572	751	31.84519993	3.012220955
84726	"PRRC2B"	"proline rich coiled-coil 2B"	12293	10502	445.3239543	36.22581586
84727	"SPSB2"	"splA/ryanodine receptor domain and SOCS box containing 2"	2248	112	4.749217566	2.112641266
84733	"CBX2"	"chromobox 2"	5687	306	12.97554085	2.281614357
84734	"FAM167B"	"family with sequence similarity 167 member B"	936	9	0.381633554	0.407728156
84735	"CNDP1"	"carnosine dipeptidase 1"	6990	3	0.127211185	0.018199025
84740	"AFAP1-AS1"	"AFAP1 antisense RNA 1"	6795	10	0.424037283	0.062404309
84747	"UNC119B"	"unc-119 lipid binding chaperone B"	4560	2026	85.90995348	18.83990208
84749	"USP30"	"ubiquitin specific peptidase 30"	5135	516	21.88032379	4.261017291
84750	"FUT10"	"fucosyltransferase 10"	5606	49	2.077782685	0.370635513
84752	"B3GNT9"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 9"	2917	246	10.43131715	3.576042905
84759	"PCGF1"	"polycomb group ring finger 1"	2629	319	13.52678932	5.145222259
84765	"ZNF577"	"zinc finger protein 577"	6234	237	10.0496836	1.612076291
84766	"CRACR2A"	"calcium release activated channel regulator 2A"	12466	282	11.95785137	0.959237235
84767	"TRIM51"	"tripartite motif-containing 51"	1832	0	0	0
84769	"MPV17L2"	"MPV17 mitochondrial inner membrane protein like 2"	2135	1165	49.40034344	23.13833416
84775	"ZNF607"	"zinc finger protein 607"	4931	515	21.83792006	4.428700073
84777	"DLGAP1-AS2"	"DLGAP1 antisense RNA 2"	2261	4	0.169614913	0.075017653
84779	"NAA11"	"N(alpha)-acetyltransferase 11, NatA catalytic subunit"	2701	0	0	0
84787	"KMT5C"	"lysine methyltransferase 5C"	4775	317	13.44198186	2.815074736
84790	"TUBA1C"	"tubulin alpha 1c"	4141	13336	565.4961202	136.5602802
84791	"LINC00467"	"long intergenic non-protein coding RNA 467"	4448	366	15.51976455	3.489155699
84792	"FAM220A"	"family with sequence similarity 220 member A"	2395	923	39.13864119	16.34181261
84793	"FOXD2-AS1"	"FOXD2 adjacent opposite strand RNA 1"	2509	43	1.823360316	0.726727906
84795	"PYROXD2"	"pyridine nucleotide-disulphide oxidoreductase domain 2"	3867	227	9.625646318	2.489176705
84798	"C19orf48"	"chromosome 19 open reading frame 48"	3256	4731	200.6120385	61.61303392
84803	"GPAT3"	"glycerol-3-phosphate acyltransferase 3"	3468	49	2.077782685	0.599129955
84804	"MFSD9"	"major facilitator superfamily domain containing 9"	4049	326	13.82361542	3.414081357
84807	"NFKBID"	"NFKB inhibitor delta"	2456	106	4.494795197	1.830128337
84808	"PERM1"	"PPARGC1 and ESRR induced regulator, muscle 1"	3424	23	0.97528575	0.284838128
84811	"BUD13"	"BUD13 homolog"	2196	741	31.42116265	14.30836186
84812	"PLCD4"	"phospholipase C delta 4"	5867	149	6.318155512	1.076897139
84814	"PLPP7"	"phospholipid phosphatase 7 (inactive)"	2430	0	0	0
84815	"MGC12916"	"uncharacterized protein MGC12916"	1652	8	0.339229826	0.205344931
84816	"RTN4IP1"	"reticulon 4 interacting protein 1"	1974	100	4.240372827	2.148111868
84817	"TXNDC17"	"thioredoxin domain containing 17"	2780	1083	45.92323772	16.51915026
84818	"IL17RC"	"interleukin 17 receptor C"	4540	1044	44.26949232	9.750989497
84820	"POLR2J4"	"RNA polymerase II subunit J4, pseudogene"	7103	615	26.07829289	3.671447682
84823	"LMNB2"	"lamin B2"	5432	2146	90.99840087	16.75228293
84824	"FCRLA"	"Fc receptor like A"	3275	0	0	0
84826	"SFT2D3"	"SFT2 domain containing 3"	3735	6	0.25442237	0.068118439
84830	"ADTRP"	"androgen dependent TFPI regulating protein"	4150	19	0.805670837	0.194137551
84833	"ATP5MD"	"ATP synthase membrane subunit DAPIT"	898	1806	76.58113326	85.27965842
84836	"ABHD14B"	"abhydrolase domain containing 14B"	3402	1650	69.96615165	20.56618214
84837	"ARHGAP5-AS1"	"ARHGAP5 antisense RNA 1 (head to head)"	1848	111	4.706813838	2.546977185
84838	"ZNF496"	"zinc finger protein 496"	10531	2106	89.30225174	8.479940342
84839	"RAX2"	"retina and anterior neural fold homeobox 2"	2414	4	0.169614913	0.070263013
84842	"HPDL"	"4-hydroxyphenylpyruvate dioxygenase like"	1629	336	14.2476527	8.746257028
84844	"PHF5A"	"PHD finger protein 5A"	1235	666	28.24088303	22.86711176
84847	"LINC00525"	"long intergenic non-protein coding RNA 525"	1188	5	0.212018641	0.17846687
84848	"MIR503HG"	"MIR503 host gene"	1678	24	1.017689479	0.606489558
84850	"GLIS3-AS1"	"GLIS3 antisense RNA 1"	734	0	0	0
84851	"TRIM52"	"tripartite motif containing 52"	4681	535	22.68599463	4.846399194
84852	"ATP1A1-AS1"	"ATP1A1 antisense RNA 1"	2458	67	2.841049794	1.155837996
84856	"LINC00839"	"long intergenic non-protein coding RNA 839"	2337	12	0.508844739	0.217734163
84858	"ZNF503"	"zinc finger protein 503"	3769	1010	42.82776555	11.36316412
84859	"LRCH3"	"leucine rich repeats and calponin homology domain containing 3"	12070	1360	57.66907045	4.777884876
84861	"KLHL22"	"kelch like family member 22"	3989	811	34.38942363	8.621063833
