	count_sam11 sicontrol	count_sam15 siCDCA2	rpkm_sam11 siControl	rpkm_sam15 siCDCA2
LOC100505817	0	0	0	0
AGFG2	27	64	1.358959905	2.538933296
FSTL1	104	123	6.558134981	6.113368306
LMNB1	563	574	39.16360014	31.47128987
C1orf226	57	83	3.246084613	3.725559558
MARCO	0	4	0	0.416035698
ZNF815P	9	13	0.772534102	0.879522472
NTRK2	0	0	0	0
KBTBD11-OT1	0	3	0	0.733123085
ENTPD1-AS1	1	0	0.049286896	0
TBC1D10A	59	128	7.079605956	12.10585539
MIR924HG	32	27	3.609077185	2.400150052
SNAI3-AS1	12	20	1.028223025	1.350717455
ACSS2	262	235	19.86921042	14.04674239
CHD5	3	6	0.075177436	0.11850753
APH1B	117	172	6.756771552	7.829071485
KRT5	9	31	0.946295572	2.56906108
WHRN	22	42	1.279967201	1.925989382
LGMN	249	447	27.72160187	39.22427597
ZNF358	210	245	26.03726047	23.94255618
SLC19A2	138	165	9.190379562	8.660974176
ZNF252P	179	88	7.98236234	3.093068346
IL17REL	0	0	0	0
TMEM97	294	341	27.72238223	25.34346742
CAV1	2451	1777	162.2474375	92.71508497
LOC101929567	0	1	0	0.02159253
SS18L1	45	69	2.191150916	2.64811783
MIR548AC	1	0	2.848782616	0
LPAR6	0	1	0	0.055192706
TERF2	146	223	11.85162329	14.26784175
MAS1	0	0	0	0
ZNF446	24	55	2.337697722	4.222486203
DESI1	199	502	12.70088507	25.25300499
NLE1	122	413	10.77384235	28.74678463
ANKRD36B	8	6	0.323617136	0.191302749
ARL2	135	235	33.3569189	45.76658005
ANXA4	563	454	36.03713775	22.90478321
CLUL1	3	1	0.319173799	0.083856053
TLE3	165	224	6.760435904	7.233811897
CAMSAP3	60	124	3.471634729	5.655003745
SRRM1	79	115	4.609536209	5.288791153
CLEC11A	25	69	4.302532381	9.359694364
TMEM94	91	149	3.77252757	4.868618401
ARSB	94	95	3.410003461	2.716307978
PTCH1	52	62	1.399224265	1.314934474
SLC6A15	0	1	0	0.024340821
PLAUR	318	706	38.29069822	67.00378007
SAMD15	1	3	0.11957853	0.282750187
SLC30A6	487	432	21.27080743	14.87192543
MAP3K8	47	77	3.639554382	4.69969331
HMGN3	94	69	15.48419939	8.958564605
KIF5C	47	31	1.559880284	0.810930327
PHRF1	82	83	3.569299809	2.847578508
GBP1P1	0	0	0	0
MIS12	306	371	26.03543073	24.87973143
TLE2	177	198	14.50911796	12.79267519
FLRT2	5	1	0.123154573	0.01941373
USP32	325	371	11.20091372	10.07795554
SSB	338	371	37.28725493	32.25864038
GNS	1721	1689	81.26641283	62.86201632
DHH	1	1	0.051509577	0.040599102
C11orf84	156	228	18.53525883	21.35194005
ARPC3	563	742	143.0519329	148.5996131
IRAK2	147	294	10.26103741	16.17520169
MIR4766	0	0	0	0
MARK2	145	320	6.779541561	11.79263187
NARS2	154	298	14.80371753	22.57848359
KCNK6	38	54	3.465750603	3.881824604
MTMR3	155	222	4.161515796	4.697872886
PNLDC1	0	0	0	0
ZNF143	134	259	11.01039498	16.77360077
ZNF518A	251	161	5.747402091	2.905709371
MLLT6	135	310	4.358637403	7.888730224
CEP104	21	27	0.787407397	0.797943971
CNTNAP1	220	492	9.767553158	17.21696685
ZNF790-AS1	4	29	0.918962134	5.251266523
ATP6AP2	479	372	56.9686563	34.87159726
ZCCHC10	93	64	9.294109196	5.041191947
CTNNB1	1707	2015	106.4222744	99.01534459
APOBEC3F	36	53	1.732712146	2.010611796
USP44	150	205	8.281344815	8.920555667
P3H2	132	140	8.124896023	6.792041864
VBP1	461	368	54.61328122	34.36161766
ITGAE	219	245	13.73480663	12.11080347
PRR26	0	1	0	0.042299729
DCHS1	1	4	0.022506415	0.07095692
SYNE2	132	159	1.435328975	1.362708871
LIPI	0	1	0	0.109498782
AACS	217	252	15.72756521	14.3956321
DHRS9	0	4	0	0.333956914
PLD1	70	63	2.813320592	1.995676633
RAPGEF3	11	22	0.403455278	0.635995195
FBXL16	16	14	1.093520846	0.75416011
LINC00622	3	0	0.456880231	0
RIMS4	173	245	8.040565906	8.975011941
SFXN4	136	240	21.82367597	30.35489088
TMEM246-AS1	0	1	0	0.220898584
SNORA13	0	0	0	0
SPOUT1	58	136	3.276831147	6.05610527
ALX3	10	11	1.638339123	1.420446644
FOXO6	3	17	0.30394961	1.357555815
OGT	281	265	12.4121074	9.226001412
CLPTM1L	622	1018	60.95311085	78.62881066
GAS1	1	1	0.085624654	0.06748811
GPR157	3	8	0.63004299	1.324241987
MOSPD3	162	202	28.03984033	27.55753254
SNORD4B	0	1	0	2.579140221
C1orf56	61	124	10.03460453	16.07757518
SFTA3	214	205	26.73857368	20.18862598
RAB38	124	237	20.56586902	30.98148028
CACNA1G-AS1	0	1	0	0.133186585
CATSPERB	0	0	0	0
RSG1	4	28	0.620888519	3.425627268
SMPDL3B	71	105	7.208554754	8.402481979
GPR137C	77	46	4.79559728	2.258074412
LOC100287846	1	2	0.068987613	0.108750072
NDUFAB1	292	480	106.0071732	137.347917
DECR2	30	60	4.589005478	7.2339751
METTL17	136	280	18.43892892	29.92149238
STAP1	0	0	0	0
EMP1	140	127	12.09005461	8.644350856
NIT2	182	304	34.67401029	45.64936146
DCN	0	1	0	0.040763857
MGC12916	0	1	0	0.09514276
CES3	5	27	0.280262179	1.192852352
DTL	395	1001	20.80658611	41.55911089
ZDHHC18	468	1353	36.10212567	82.26463117
SMOX	645	1339	67.23396769	110.0114886
SLK	422	499	13.13105017	12.23815623
OSTN-AS1	0	0	0	0
PTH1R	16	27	1.805379477	2.401268482
FERMT3	0	2	0	0.149573963
CXCR6	0	0	0	0
CCDC117	354	304	21.02007575	14.22764552
SYNRG	107	173	3.144378385	4.007057417
PPP1R32	0	1	0	0.12401324
SAP25	1	0	0.289995835	0
AP4M1	27	65	3.499976501	6.641148
EXOC6	130	112	7.793772693	5.292377855
PI15	6	4	0.214447105	0.112682731
SNORD121A	0	0	0	0
NANOS2	0	0	0	0
PLEKHA1	224	247	12.86852219	11.18422894
ID2-AS1	2	6	0.307878604	0.72799635
AAGAB	444	841	31.56578272	47.125723
ADGRE2	13	16	0.48676431	0.472197622
CDC42EP1	368	1471	41.21642934	129.8564892
OR2T8	0	0	0	0
NPR1	20	14	1.157211576	0.638468165
TREML2	0	0	0	0
CYTIP	0	0	0	0
EIF4A3	511	788	71.35921161	86.73288615
BCAT1	1674	1092	39.63559973	20.37891493
CAMKV	1	2	0.072891789	0.114904501
SCARNA8	1	0	1.848446736	0
SDHAF2	196	401	38.93414142	62.78376286
GRASP	1	2	0.11585958	0.182637681
RNF150	15	13	0.779274369	0.53231772
CSAG4	0	0	0	0
BCL2A1	126	262	32.35467849	53.02690415
EFNB2	37	37	2.042266088	1.609684506
TFRC	3041	3245	139.0684749	116.9648614
NEBL-AS1	0	0	0	0
LSM3	248	290	86.40624108	79.63791245
WHAMMP1	1	2	0.154528732	0.243594609
ENTPD8	3	5	0.326930498	0.429469794
VPS35	1190	1196	57.82748578	45.80859445
MAPK8IP2	32	75	2.292511454	4.234978766
GLS2	13	46	1.15689261	3.226531905
CLVS2	0	1	0	0.016629466
SGTA	499	1184	52.19486595	97.61293721
GRPEL2	212	327	12.50549641	15.20341902
CGB3	0	0	0	0
SMCR8	285	748	8.304664125	17.17937058
RPL11	2786	4524	1064.069734	1361.88367
ZNF600	32	28	1.942514093	1.339678751
EFHC2	2	2	0.1489216	0.117377845
FBRSL1	79	257	4.207076153	10.78735182
RAE1	223	579	24.88418179	50.92435112
C19orf60	102	197	28.06698328	42.72580244
SLC2A8	89	123	9.935933837	10.82311401
LOC100507156	2	1	0.110720861	0.043634288
DOCK2	1	0	0.039715684	0
ATP5E	4	5	2.206346445	2.173762829
NSUN4	85	243	3.549310985	7.997602942
TRPS1	13	10	0.309955178	0.18792475
ZNF281	460	621	22.77860947	24.2375889
SCN9A	22	17	0.545822079	0.332434262
ATP10A	248	314	11.47350737	11.44992399
ZNF706	136	169	10.5720472	10.35464771
CACNG7	3	4	0.309782331	0.325554587
LOC102724589	0	0	0	0
RPE	325	333	22.45295857	18.13271707
TJP2	515	553	23.74437529	20.09588274
APC	190	218	4.101982815	3.709583635
ADRA2B	9	8	0.648220911	0.454149617
FGF2	521	440	18.62390584	12.39693026
UBE2H	1462	1959	68.59488776	72.44480553
DEPTOR	23	14	2.112811083	1.013652985
GPR137	248	445	22.51681198	31.84517716
PEAK1	192	235	3.93434309	3.795485186
LOC102723780	0	0	0	0
SLC5A6	249	610	16.72987904	32.30365971
C17orf80	140	146	8.292689122	6.816299156
AASS	27	18	1.113601789	0.585149851
LOC100287042	7	10	0.652686044	0.73491096
ZNF461	29	39	1.71819162	1.821237749
PLPP7	0	3	0	0.273302687
ALKBH8	216	299	12.86049885	14.03148673
AIM1L	5	16	0.230835579	0.582212016
CHD8	434	671	12.53627469	15.27670626
STRBP	311	324	11.3981487	9.3593864
UQCRC1	890	1249	133.2779251	147.4209116
SLC24A5	5	6	0.748752388	0.708186925
NMB	40	93	9.403748442	17.23266311
LMAN2	782	1163	103.3616706	121.1604616
GDPD5	38	22	2.899044691	1.322886037
ASCL2	2	4	0.261921603	0.412885617
CPNE3	840	634	41.81806719	24.87724972
GULP1	218	154	12.50602745	6.963250879
MAEA	387	540	34.59236034	38.04446041
NLGN1	0	2	0	0.077160451
LINC00477	1	0	0.141606153	0
TAL1	1	2	0.047451797	0.074801637
TBC1D14	201	319	8.867088905	11.09185354
CSAD	4	11	0.320087934	0.693793833
CHST10	81	162	6.872413564	10.83347336
ITGA9-AS1	0	3	0	0.65511342
MIEN1	173	320	27.61460011	40.2597498
INSR	76	87	1.965936941	1.773796042
MBOAT4	0	2	0	0.229532623
ACER2	18	37	1.528273984	2.476046959
DAGLB	212	699	17.64091503	45.84488216
DAO	0	1	0	0.119584196
LYL1	10	26	1.354287038	2.775316435
CSF1R	1	0	0.0602055	0
GBP2	71	69	4.160794552	3.18709825
COX19	68	177	3.366584241	6.906885835
TMC3-AS1	2	5	0.449668565	0.886055601
KIF26B	12	37	0.398759197	0.969079995
DPM1	267	380	52.64912172	59.05979074
SCAMP4	374	605	33.66646817	42.9249471
ABCE1	1135	1049	65.53083045	47.7368476
MRPL39	231	340	47.76758896	55.41517333
LOC101928132	0	0	0	0
ZNF112	16	21	1.037307726	1.07308806
NRSN2	337	499	30.68949908	35.81697323
CUL4A	455	426	24.51639245	18.09185944
RNF169	147	144	4.550113612	3.513143065
DDX47	343	568	45.71065337	59.66231248
ERGIC1	1637	1553	135.0115317	100.9536623
LOC100996693	3	4	0.891336892	0.936718412
TMOD1	4	0	0.282716313	0
LOC103611081	38	27	2.300967204	1.288602691
SCGB1B2P	24	12	2.841817378	1.119939617
ZNF684	28	21	3.233239212	1.911294184
NWD2	0	0	0	0
PPM1E	128	135	4.735638635	3.936686144
CROCCP3	6	1	0.270655576	0.035554467
FAM43A	20	31	1.539882495	1.88125522
CFAP70	0	1	0	0.051527099
CA3	2	1	0.276580837	0.108998502
DSCAM	0	0	0	0
SHE	0	0	0	0
SHANK2-AS1	0	0	0	0
DEAF1	98	143	8.545322	9.828038107
TBC1D8B	55	39	2.114313182	1.181679422
MXD3	34	41	2.60454975	2.475517694
TMIGD2	0	1	0	0.150755432
NUP50-AS1	12	20	1.914201758	2.514576764
LOC101927497	0	0	0	0
OOEP	18	20	6.438164554	5.638297677
LOC101927189	0	0	0	0
SLC16A11	6	14	0.805812054	1.481968535
GOLGA2P10	1	1	0.023513937	0.018533344
ZNF252P-AS1	0	2	0	0.117958205
TIPARP-AS1	1	1	0.095220811	0.075051662
B4GAT1	137	238	16.0261225	21.94387323
CBS	20	43	1.380932548	2.340126656
LYAR	208	349	31.40054654	41.52673027
BAALC	1	0	0.084993514	0
GTF2A2	483	381	60.44277535	37.57947256
CYP4F22	1	2	0.092812006	0.146306153
KIF14	207	133	6.888048665	3.488236644
LINC01063	8	13	5.664246137	7.254774541
EPHB6	9	5	0.536910249	0.235102706
DNMBP	215	368	6.533003176	8.813545803
RNF133	0	0	0	0
PC	52	55	2.96902126	2.475147536
LDLRAD1	0	0	0	0
ISPD	15	10	0.657530383	0.34550394
SMYD5	252	250	23.77129865	18.58749283
C1D	81	78	15.27559837	11.59407894
LYRM2	98	92	4.239078098	3.136617833
FLJ13224	0	0	0	0
MTA3	326	311	11.74000094	8.827533173
TRMT10C	161	214	21.13040114	22.13727076
LIX1L	397	216	24.05108066	10.31397981
TAS2R20	15	17	1.550233818	1.384788049
TEX10	188	270	13.90456512	15.73953012
HINT1	1182	1512	204.2949247	205.9777595
RLN1	0	2	0	0.380191985
RPS14	2696	3774	830.5687332	916.4019904
SLC6A9	130	258	8.443950619	13.20840802
ANKS3	26	36	2.132004599	2.326728598
CDK17	418	484	21.47618212	19.59993341
RPPH1	15	12	10.65160656	6.716353421
ZSWIM6	219	342	9.636577939	11.86132668
GMEB1	18	58	1.617905495	4.109008846
MYO16	0	1	0	0.025366345
LYRM1	154	207	16.26987978	17.23702876
LOC100652758	34	37	4.992711802	4.282405049
SWAP70	574	519	28.47032033	20.28972948
H2AFZ	1720	2164	439.8014979	436.1279815
SNORD27	0	2	0	5.30156601
HAGLR	128	46	6.651234949	1.883989981
TMEM143	24	53	2.270123647	3.951323417
RFXANK	90	141	13.35366851	16.48942958
MFAP2	17	33	3.506380648	5.364787411
RNF217	84	104	1.707834415	1.666588005
MAX	350	634	27.90625052	39.84291822
SNORD45A	0	1	0	2.272099719
CCDC129	0	0	0	0
SEMA3B-AS1	1	0	0.71640983	0
LRP3	56	131	3.666902448	6.761001976
MAP3K19	0	0	0	0
ZBTB34	46	102	1.697202503	2.966227395
SEC61A1	1084	1513	72.19109743	79.41850865
EML6	4	9	0.123355335	0.218760493
POLD2	449	1037	47.0462088	85.6417405
CYP27A1	66	104	6.969764709	8.656372936
MYLK-AS1	4	4	1.209221086	0.953090519
SOWAHC	293	561	15.2447209	23.00610811
IL34	1	3	0.126315348	0.298679775
STK11	70	214	5.174070991	12.46741897
EXOC7	218	285	9.773734841	10.0711104
UFSP1	9	17	2.188070985	3.257588753
HSD11B1L	41	37	4.678608585	3.327844451
VIPAS39	112	209	9.134526947	13.43515752
ACER3	345	278	11.13577049	7.072523678
PARP14	205	428	6.440067084	10.59762962
HNRNPK	2093	2198	157.1512159	130.0782373
MIER2	77	288	6.630612455	19.54716799
UXT	122	173	35.0853631	39.21395857
HIST1H3H	19	28	9.726815909	11.29805188
GOLGA7B	11	4	0.413091152	0.118397256
UVRAG	169	235	7.921556772	8.682007056
TRAF1	23	194	1.217348637	8.093144703
HRASLS5	0	3	0	0.183928406
DERL3	8	12	0.605366306	0.715711411
CCDC178	0	0	0	0
ENAH	1060	757	19.48347607	10.96692553
PFKP	992	1704	63.37977578	85.80983255
KIF12	10	9	1.208919233	0.857567343
PACS2	172	261	6.068658291	7.258271053
TMIGD3	0	0	0	0
JPH1	40	57	2.195842416	2.466291873
HMBS	278	482	39.78530332	54.36925143
FOXP1-AS1	0	0	0	0
MELK	707	999	65.6180879	73.07992334
MYH3	3	2	0.12031129	0.063218409
HSP90AB4P	1	0	0.07723972	0
PPIA	908	921	89.92598868	71.8931381
ANKRD36BP2	3	4	0.419907264	0.441286419
CSDE1	2640	2670	148.2185994	118.1512926
USP3	219	277	9.026398026	8.998675108
FLYWCH1	114	191	5.45547501	7.204262428
SUSD6	104	166	4.669615859	5.874681713
F5	0	0	0	0
BCAN	80	187	4.783141183	8.812380835
IGSF3	273	128	9.022246569	3.334190825
DNPEP	210	340	11.60446593	14.80857325
WDTC1	309	356	15.52672244	14.09937124
ADGRG5	0	1	0	0.050067255
TPST1	117	97	13.8133316	9.026362023
CCZ1B	37	29	4.879859111	3.014615967
CXXC1	55	164	4.490242323	10.55308352
SARAF	1096	1006	123.1520132	89.09583046
MMP1	13	20	1.531827149	1.857482982
KLHL26	62	90	4.191257506	4.795386341
RDH10-AS1	0	1	0	0.058526948
IL17RA	115	221	3.234996523	4.900006875
AASDH	93	126	5.597719757	5.977604629
CASC18	0	0	0	0
HBA1	0	0	0	0
TPI1P2	3	10	0.360158437	0.946238852
LOC101928651	0	0	0	0
CHAF1B	132	275	14.02516058	23.03005858
SERTAD1	75	215	15.08387806	34.08149578
GRPEL1	555	1160	48.01404785	79.09731926
LOC101927604	1	2	0.304970431	0.48074654
USPL1	90	118	4.054546421	4.18996324
C3orf70	0	1	0	0.032343056
THAP9-AS1	174	449	18.25541373	37.12933839
CHMP4A	67	123	11.96446681	17.31219343
DMTN	140	150	8.389139602	7.08449801
USH1G	8	21	0.542929422	1.123313874
SOX15	12	26	2.084475085	3.559731554
ZCCHC24	159	99	7.808009949	3.831835583
NIM1K	8	5	0.591502955	0.291383781
THAP11	311	624	39.92978179	63.14654234
RAB3GAP1	310	416	15.20158403	16.07862547
SNORA103	1	0	2.815657237	0
LDOC1L	378	385	17.19222116	13.80159747
SFT2D2	22	20	6.22339193	4.45926113
CNTN1	101	37	3.346578922	0.966295283
RABGEF1	276	356	12.33753741	12.54289644
HAGLROS	0	0	0	0
CALHM1	3	0	0.237709282	0
NDUFA4L2	2	9	0.407654078	1.445881639
RBM41	25	24	0.731207037	0.553273709
MAN1B1-AS1	24	54	3.104442595	5.505472396
IL18BP	5	23	0.416918943	1.511603532
PSG4	0	1	0	0.088033384
CLEC4GP1	0	0	0	0
PCYT1B	0	1	0	0.032669698
XKR6	24	71	1.357196763	3.164596619
CARD8	76	58	3.191664187	1.919817869
LOC284578	0	0	0	0
RCL1	81	244	8.516660144	20.22099689
ATP8B2	217	209	8.336632612	6.328570944
LOC105370943	0	0	0	0
NKX2-2	0	0	0	0
MIR4258	0	2	0	4.194645635
LMF2	229	463	21.33572667	34.00019325
SPRR2D	0	1	0	0.279848059
HORMAD2	5	8	0.518071293	0.653338045
LMLN-AS1	0	0	0	0
PIP5KL1	14	33	1.98480756	3.687506101
STK40	47	231	2.911457291	11.27854258
DOC2B	1	1	0.225462311	0.177706123
ETV2	3	5	0.485912754	0.63831564
NEBL	38	23	0.927016709	0.442242258
ADO	339	567	22.04287623	29.05895956
RALGAPB	749	911	20.90453495	20.04035948
ITPK1-AS1	0	0	0	0
ISY1	51	92	3.212661977	4.567842515
ACSL3	551	430	30.59452736	18.81867504
TBC1D12	159	165	6.697042452	5.477700835
PRMT2	359	469	10.93054213	11.25507865
MIR6759	0	0	0	0
CITED2	1050	826	120.1010149	74.46734383
LINC00665	62	215	7.064980888	19.31017455
ZNF222	29	58	4.104178345	6.469707674
KCNV1	0	0	0	0
LHFPL2	400	666	19.19893141	25.19531153
MESP2	19	23	2.855855944	2.724827223
TPCN1	364	538	16.12243171	18.78191522
RPL13A	873	1266	179.1473848	204.7662479
NCAM2	0	0	0	0
MET	1917	2543	67.86474903	70.9572756
TMEM108-AS1	0	0	0	0
RBM47	164	160	7.567078824	5.818791963
JADE3	113	162	5.475796884	6.18745907
RFTN1	42	46	3.387792785	2.924514761
KCNQ5-AS1	0	0	0	0
PKIB	31	9	3.117334798	0.713333633
ANKRD12	220	104	4.583346376	1.707740097
C16orf59	49	131	7.288193855	15.35760768
GTF2H2	0	10	0	0.978248982
LOC101928042	0	0	0	0
PRDM16	6	5	0.166557278	0.109398359
ATG14	75	79	3.829008893	3.178927627
CNOT1	1928	2159	51.2299457	45.21660448
ISOC1	314	508	39.19278764	49.97682433
ADCK2	203	198	20.79346195	15.98543254
MIER1	502	419	15.72339338	10.34391692
ACTR5	75	116	7.325933513	8.930754199
DCTN1-AS1	0	0	0	0
DLGAP1-AS1	90	99	21.94681472	19.0279771
PRR7	133	281	20.60491841	34.31263069
ADAMTS16	14	37	0.681143523	1.418863959
RBMX	538	617	38.11434436	34.45242371
C9orf142	160	315	46.79159853	72.60840406
C14orf28	33	23	2.749771245	1.510563199
FBXO11	255	286	14.88246884	13.15616381
LOC102724601	0	2	0	0.852037395
PCGF2	78	178	7.253236845	13.04625
IRAIN	3	4	0.135630987	0.142536502
WFDC10B	0	0	0	0
ZXDB	88	81	3.776833387	2.740050777
SPTLC1	637	502	45.86599309	28.48941449
CNTN5	0	0	0	0
UBN2	92	106	1.542334537	1.400635274
IFI27L2	135	157	69.99953002	64.16370683
CH25H	5	24	0.878615829	3.324058805
SLC25A22	90	392	6.740855866	23.14126184
TBX15	1	2	0.064434945	0.101573378
TTC29	0	0	0	0
TEX22	0	5	0	0.371171483
SMCO2	2	2	0.380733526	0.300088642
CFAP73	1	0	0.159938258	0
ERVH48-1	0	0	0	0
METTL14	123	179	8.500006351	9.749797766
ARR3	0	0	0	0
LOC101928530	0	18	0	6.326730709
B3GNT8	0	0	0	0
PTPRN	1	0	0.061930057	0
ZNF589	14	54	1.007744148	3.063687373
DGKB	0	0	0	0
CPSF6	515	467	18.53804951	13.24958046
LRRC75B	4	19	0.781117814	2.924412219
TMEM40	1	8	0.106204615	0.669671496
ALOX12P2	5	20	0.404251289	1.274500009
AP1B1	425	552	24.63194639	25.21606505
CHRM3	0	0	0	0
SP7	0	0	0	0
RASSF7	61	139	8.40690829	15.09905311
SWT1	36	34	2.209702105	1.644896526
HDLBP	1247	1417	43.03830009	38.54667693
COPG1	351	334	27.64913121	20.73715996
RAB11B	371	625	55.18203919	73.27102901
H2AFJ	350	793	23.11188515	41.27327692
CDC20B	1	1	0.081148298	0.063959912
COX15	637	756	21.07779923	19.71678335
DDX5	1596	2129	84.45494967	88.79659644
BTN2A2	74	73	4.62064019	3.592706415
TIMP4	4	10	0.593132939	1.168746947
BRINP3	0	0	0	0
WDR47	108	107	5.978926478	4.668868832
CCDC169	2	11	0.314680341	1.36414564
LINC00899	10	14	1.504015667	1.659620664
1-Mar	3	3	0.126711943	0.099872515
BBS7	88	95	4.976388129	4.23431942
DNAJC22	10	6	0.548836179	0.259550829
LOC101928272	0	0	0	0
LINC01166	3	0	0.251450179	0
C11orf95	83	132	3.600530519	4.513264364
BOD1L1	113	149	2.59557551	2.697552654
CACNG8	5	3	0.13835363	0.065428994
SYTL5	1	0	0.049589704	0
TMC8	6	14	0.328780071	0.60465926
MGC34796	0	1	0	0.101142754
BATF3	30	97	7.405092427	18.87162947
COBLL1	40	36	0.992505471	0.704050574
FAM210B	196	141	15.64811025	8.872650534
WFDC2	41	64	17.54064915	21.58093302
SNORA14B	1	0	1.793677944	0
SPAG5	347	335	22.0653475	16.79014866
ISG20	149	533	9.289349082	26.19115567
CDHR5	0	1	0	0.054702315
USP12	300	139	16.13234659	5.891413794
PANK2	200	327	5.276672965	6.799960239
EGLN3	154	81	13.69969304	5.67941458
ZC3H10	36	84	3.491099241	6.420478821
DNAJC24	59	54	4.76221494	3.435414775
CCDC17	0	1	0	0.084825056
SARM1	3	5	0.099607784	0.130849017
TMEM25	63	112	5.068183026	7.101632609
VAMP5	2	2	0.728260218	0.574004139
TENM1	0	0	0	0
SPDYE5	0	1	0	0.060647085
UHRF1	93	180	4.333197341	6.610380556
GTF2I	137	131	7.082423904	5.337785078
MIRLET7A1	1	0	3.02683153	0
KMT2C	122	179	1.751979346	2.026052151
CCNL1	101	259	8.050295839	16.27116573
DINO	2	0	0.509246104	0
ATP6V0C	829	1398	163.0702413	216.7483462
RPL23AP53	25	21	1.045898939	0.692464393
APOC1P1	0	0	0	0
LOC100505918	0	0	0	0
TMEM107	60	105	8.185234559	11.2900955
C1orf127	0	0	0	0
CUEDC2	168	199	34.01389278	31.75620309
PARK2	0	2	0	0.093717838
NUBP1	63	101	11.81660024	14.93144385
BBOX1-AS1	0	2	0	0.323485384
PPP1R27	1	3	0.30306198	0.71660717
NNMT	1847	1730	283.4249853	209.240514
LINC01031	0	0	0	0
RAD51AP1	134	165	14.30041163	13.87893438
MBOAT2	684	434	20.44792856	10.22613177
SPRNP1	0	0	0	0
ZNF28	59	77	3.031970463	3.118832976
LOC105369739	0	1	0	0.19028552
C1R	24	64	2.564658666	5.390471354
KAT8	63	83	8.368201267	8.689566231
BCL7C	171	205	18.9073312	17.86555121
PLEKHF2	178	177	14.53695817	11.39344979
TBX21	1	2	0.09414717	0.148410868
TMEM126B	301	393	54.35205312	55.93330046
LINC01607	2	5	0.779859975	1.5366858
PCDH7	0	0	0	0
RPS6	5130	7735	1498.44591	1780.788988
GMNC	10	6	0.668174731	0.315987378
MAGEA11	0	0	0	0
SMARCD1	420	523	29.65924159	29.10991101
SNAI2	33	94	3.788921403	8.506637923
PIN1P1	43	39	10.45411693	7.473291846
IQCH-AS1	14	13	0.507340813	0.371315907
CYBA	141	219	47.22359565	57.81126753
RBL1	170	223	6.675029804	6.901406183
CYP11A1	0	0	0	0
CCDC80	71	84	3.648642421	3.402363246
RHOT1	232	149	15.54024708	7.866556039
LRR1	567	663	66.2311038	61.04089606
PSMD11	897	661	54.05809621	31.39772643
TARBP1	160	131	7.552328183	4.873720332
ADCK1	31	76	3.36013527	6.49287583
ST7-AS2	0	0	0	0
PTPRR	25	38	1.350359817	1.61778771
WDR83OS	213	255	59.90384351	56.52540764
CLDN24	0	0	0	0
PGBD5	18	30	1.299534109	1.707123223
NELFB	422	702	39.71466477	52.07196899
C1orf146	0	0	0	0
TRIM52-AS1	97	100	14.4899523	11.77398991
GEM	60	41	6.655424344	3.584567765
SSNA1	318	565	81.83059949	114.594955
ACSM3	22	11	2.325283061	0.916377189
DLG3	139	149	4.962896876	4.193099393
TMEM258	242	316	142.5777577	146.7411556
LOC100996419	10	14	1.655136858	1.826376807
C9orf172	2	7	0.165231336	0.455815297
TPRG1-AS2	0	1	0	0.39844755
SPSB2	49	153	7.889082178	19.41557552
VIM	4887	4461	554.012198	398.6003254
FAM110C	121	198	7.393320517	9.535594883
OXER1	0	2	0	0.216513189
SYT10	0	0	0	0
COLGALT2	35	24	1.448492272	0.782866695
GLT6D1	0	1	0	0.125069709
GLIPR1L1	2	3	0.469276206	0.554815048
DYX1C1	5	3	0.510642181	0.241488456
PPP2R5D	284	370	22.44439046	23.04727783
FBXO2	92	109	12.98978429	12.13023034
PLA2G15	77	126	6.847330967	8.831400449
PARL	331	564	54.48708287	73.17674798
KCNJ14	4	9	0.339735563	0.602492945
UG0898H09	1	0	0.034390928	0
LCNL1	0	1	0	0.103952275
FXR2	330	773	26.75204298	49.39135552
PPP1R14C	44	75	4.818836266	6.474096892
KIAA1324	6	8	0.177505087	0.186542579
BNIPL	2	3	0.200784844	0.237383553
CENPO	242	482	13.21295567	20.74245173
ZNF562	128	120	5.358705889	3.959675858
NAGLU	169	329	14.70983547	22.57072172
GSPT2	89	134	7.572396518	8.986210272
MRPS18C	13	47	2.859132417	8.147365749
DEF8	267	450	15.3206449	20.35198326
REXO4	129	416	12.53487215	31.86045448
CSK	276	357	24.39140152	24.86705342
BDNF	86	129	2.693997532	3.185054664
LOC100131347	7	6	0.735369048	0.496806186
UCHL3	145	235	30.1902371	38.56513194
GINS4	96	112	6.052086995	5.565195041
CTBS	146	117	11.40064246	7.200966152
POLA1	103	190	4.476950602	6.509192517
LINC01140	6	6	0.312985595	0.246690706
IP6K2	207	299	13.71390701	15.61314816
ADPRHL2	172	279	24.62992422	31.48960911
SLC51B	0	2	0	0.406077397
ZFX	154	114	4.511865027	2.632501743
KDM4C	82	102	2.687239794	2.634639382
MS4A4A	0	1	0	0.106326672
BACH1	851	736	29.99515146	20.4469131
FAM162A	200	237	57.79153279	53.97728067
PREX2	0	0	0	0
KLHL17	16	47	1.511054742	3.498537321
TAT-AS1	1	2	0.298946324	0.471250312
SDF4	430	731	48.70112471	65.25538407
CLN3	193	351	19.91234717	28.5430712
SYNPO	972	1206	28.52580533	27.89635073
PPP1R12A	280	306	11.40663295	9.82537873
CA14	19	9	2.52651506	0.943276984
PPP1R14D	0	0	0	0
CAB39	662	551	36.93571378	24.2308441
CAV3	0	0	0	0
