	count_sam11 sicontrol	count_sam15 siCDCA2	rpkm_sam11 siControl	rpkm_sam15 siCDCA2
LOC102724927	3	0	0.527169497	0
RND1	16	34	2.326933548	3.897367446
LOC100294362	1	1	0.065480401	0.051610702
LINC01355	2	0	0.137935928	0
FAAP20	258	459	8.935040442	12.52904416
ZSCAN2	64	93	3.517334869	4.028516342
RGS20	122	127	10.7659897	8.833367274
NYNRIN	2	0	0.061638417	0
ABCC11	1	2	0.049337107	0.077773585
LOC100506207	5	15	0.422152236	0.998202805
NRG4	16	10	1.776407317	0.875086549
ZBTB21	324	488	10.27845844	12.20200598
TXNRD1	13330	8893	700.1763868	368.1747842
OIP5-AS1	295	338	37.71553543	34.05990244
REPS1	155	282	9.338818355	13.39176366
MT1M	24	59	13.20799213	25.59210501
SNORA1	1	1	1.862665557	1.468125972
ACAT2	384	476	48.7083628	47.58912266
SAP18	446	728	46.93496262	60.38393829
PLD5	0	0	0	0
LOC100288637	46	118	1.894988096	3.831414157
THAP10	86	92	10.17322957	8.577814669
METTL13	360	543	25.58636573	30.41826016
LOC101926913	0	0	0	0
ROR1	226	217	8.325743809	6.300902735
ZNF74	121	249	7.25240822	11.76317765
ZIC4	2	1	0.092990216	0.03664677
TRMT13	40	46	3.081724752	2.793316358
MRPS34	430	718	101.6826217	133.8231233
AVPR1B	0	1	0	0.10764601
DLX3	4	1	0.372246768	0.073349876
THUMPD2	96	186	8.502584546	12.98437674
BEST4	3	11	0.346583763	1.001631746
WDR26	1208	973	42.56591953	27.02317436
KHK	37	47	3.51349856	3.517744976
MAT1A	1	5	0.071135876	0.280341328
FLJ31356	1	1	0.084963692	0.06696715
AGBL3	1	8	0.068538501	0.432168415
CCDC92	101	137	9.682026429	10.35127615
WNK4	1	6	0.057957521	0.274087664
GALNT6	39	31	2.089317339	1.308970723
CYP2J2	35	101	4.124150016	9.380289058
TAF12	89	131	14.86278655	17.24288642
FOXP4-AS1	12	14	3.565347569	3.278514441
FBXW5	579	1018	58.90875481	81.63520637
ANKRA2	82	79	9.033673719	6.859715075
TOMM40L	88	88	7.320128468	5.769619073
NAPRT	428	600	60.85655407	67.24241094
LOC105372069	0	1	0	0.2770049
RNF220	139	193	9.52954887	10.4290149
KLF2	23	30	1.991194142	2.04708305
VAV1	70	100	5.771282454	6.498344446
ATL2	542	444	19.53608442	12.61390758
MAP1S	85	262	5.72848717	13.9171641
POPDC3	303	277	38.39371862	27.66468669
SMIM1	5	26	2.112971399	8.660149713
ACBD4	108	223	8.071550746	13.13610245
ARF4-AS1	2	22	0.885362056	7.676124827
MYO1A	0	1	0	0.052018636
LOC100134368	1	1	0.154135278	0.121487191
EBF2	0	0	0	0
BCAP31	513	733	51.84522787	58.38803167
HSP90AB1	8919	12738	746.0120322	839.7680561
