"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"5559.236026582746","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000365663","false","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000365663","0.383","0.0","0.0","0.0","0.0",,"0.0","0.87","0.799"
"16956.404797059527","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000355537","false","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000355537","0.201","0.0","0.0","0.068","0.0",,"0.0","0.785","0.734"
"11085.410821089721","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000477999","false","pp","9606.ENSP00000341838 (pp) 9606.ENSP00000477999","0.0","0.0","0.75","0.0","0.0",,"0.0","0.771","0.125"
"813.0023854134298","pp","9606.ENSP00000294179 (pp) 9606.ENSP00000416097","false","pp","9606.ENSP00000294179 (pp) 9606.ENSP00000416097","0.085","0.0","0.5","0.494","0.0",,"0.0","0.943","0.784"
"30.652380952380952","pp","9606.ENSP00000294179 (pp) 9606.ENSP00000379602","false","pp","9606.ENSP00000294179 (pp) 9606.ENSP00000379602","0.049","0.0","0.54","0.423","0.0",,"0.0","0.825","0.39"
"2414.0","pp","9606.ENSP00000294179 (pp) 9606.ENSP00000305647","false","pp","9606.ENSP00000294179 (pp) 9606.ENSP00000305647","0.049","0.0","0.0","0.684","0.0",,"0.0","0.769","0.294"
"9.5","pp","9606.ENSP00000299721 (pp) 9606.ENSP00000379602","false","pp","9606.ENSP00000299721 (pp) 9606.ENSP00000379602","0.054","0.0","0.54","0.0","0.0",,"0.0","0.908","0.806"
"2414.0","pp","9606.ENSP00000296452 (pp) 9606.ENSP00000334319","false","pp","9606.ENSP00000296452 (pp) 9606.ENSP00000334319","0.274","0.108","0.8","0.071","0.0",,"0.0","0.904","0.326"
"2414.0","pp","9606.ENSP00000254868 (pp) 9606.ENSP00000454623","false","pp","9606.ENSP00000254868 (pp) 9606.ENSP00000454623","0.169","0.0","0.0","0.0","0.0",,"0.0","0.752","0.713"
"2251.5313597911004","pp","9606.ENSP00000339933 (pp) 9606.ENSP00000355689","false","pp","9606.ENSP00000339933 (pp) 9606.ENSP00000355689","0.06","0.0","0.9","0.0","0.0",,"0.043","0.917","0.19"
"2184.190284572296","pp","9606.ENSP00000339933 (pp) 9606.ENSP00000410186","false","pp","9606.ENSP00000339933 (pp) 9606.ENSP00000410186","0.074","0.0","0.9","0.0","0.0",,"0.055","0.913","0.131"
"934.4950671534303","pp","9606.ENSP00000339933 (pp) 9606.ENSP00000346577","false","pp","9606.ENSP00000339933 (pp) 9606.ENSP00000346577","0.074","0.0","0.9","0.0","0.0",,"0.055","0.913","0.131"
