"EdgeBetweenness","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"188.0","pp","9606.ENSP00000331358 (pp) 9606.ENSP00000433208","false","pp","9606.ENSP00000331358 (pp) 9606.ENSP00000433208","0.0","0.0","0.0","0.0","0.0",,"0.0","0.82","0.82"
"3937.4211337921843","pp","9606.ENSP00000324806 (pp) 9606.ENSP00000339527","false","pp","9606.ENSP00000324806 (pp) 9606.ENSP00000339527","0.304","0.0","0.0","0.094","0.0",,"0.0","0.762","0.653"
"408.0","pp","9606.ENSP00000302625 (pp) 9606.ENSP00000324806","false","pp","9606.ENSP00000302625 (pp) 9606.ENSP00000324806","0.06","0.0","0.9","0.921","0.0",,"0.0","0.999","0.996"
"408.0","pp","9606.ENSP00000324806 (pp) 9606.ENSP00000360672","false","pp","9606.ENSP00000324806 (pp) 9606.ENSP00000360672","0.0","0.0","0.9","0.129","0.0",,"0.0","0.915","0.106"
"3528.0","pp","9606.ENSP00000324806 (pp) 9606.ENSP00000377934","false","pp","9606.ENSP00000324806 (pp) 9606.ENSP00000377934","0.0","0.0","0.0","0.105","0.0",,"0.0","0.769","0.752"
"812.0","pp","9606.ENSP00000324806 (pp) 9606.ENSP00000362082","false","pp","9606.ENSP00000324806 (pp) 9606.ENSP00000362082","0.0","0.0","0.9","0.0","0.0",,"0.0","0.935","0.384"
"808.0","pp","9606.ENSP00000324806 (pp) 9606.ENSP00000408979","false","pp","9606.ENSP00000324806 (pp) 9606.ENSP00000408979","0.059","0.0","0.9","0.094","0.0",,"0.0","0.917","0.147"
"4048.811609982661","pp","9606.ENSP00000324806 (pp) 9606.ENSP00000381531","false","pp","9606.ENSP00000324806 (pp) 9606.ENSP00000381531","0.083","0.0","0.9","0.086","0.0",,"0.0","0.955","0.53"
"404.0","pp","9606.ENSP00000324806 (pp) 9606.ENSP00000399403","false","pp","9606.ENSP00000324806 (pp) 9606.ENSP00000399403","0.047","0.0","0.9","0.1","0.0",,"0.0","0.935","0.337"
"408.0","pp","9606.ENSP00000307684 (pp) 9606.ENSP00000423333","false","pp","9606.ENSP00000307684 (pp) 9606.ENSP00000423333","0.0","0.0","0.0","0.784","0.0",,"0.0","0.856","0.362"
"1212.0","pp","9606.ENSP00000307684 (pp) 9606.ENSP00000384018","false","pp","9606.ENSP00000307684 (pp) 9606.ENSP00000384018","0.06","0.0","0.0","0.755","0.0",,"0.0","0.81","0.244"
"408.0","pp","9606.ENSP00000384018 (pp) 9606.ENSP00000415822","false","pp","9606.ENSP00000384018 (pp) 9606.ENSP00000415822","0.067","0.0","0.0","0.512","0.0",,"0.0","0.775","0.545"
"408.0","pp","9606.ENSP00000307684 (pp) 9606.ENSP00000356848","false","pp","9606.ENSP00000307684 (pp) 9606.ENSP00000356848","0.0","0.0","0.9","0.956","0.0",,"0.0","0.998","0.587"
"1435.6197222855114","pp","9606.ENSP00000384018 (pp) 9606.ENSP00000385216","false","pp","9606.ENSP00000384018 (pp) 9606.ENSP00000385216","0.06","0.0","0.5","0.046","0.0",,"0.0","0.884","0.773"
"1263.0033733323212","pp","9606.ENSP00000384018 (pp) 9606.ENSP00000483236","false","pp","9606.ENSP00000384018 (pp) 9606.ENSP00000483236","0.093","0.0","0.0","0.0","0.0",,"0.0","0.798","0.787"
"1093.0483931960705","pp","9606.ENSP00000354681 (pp) 9606.ENSP00000441875","false","pp","9606.ENSP00000354681 (pp) 9606.ENSP00000441875","0.064","0.0","0.0","0.19","0.0",,"0.0","0.905","0.885"
"4630.763876243574","pp","9606.ENSP00000354681 (pp) 9606.ENSP00000372191","false","pp","9606.ENSP00000354681 (pp) 9606.ENSP00000372191","0.063","0.0","0.0","0.314","0.0",,"0.0","0.763","0.66"
"1968.4331346041886","pp","9606.ENSP00000441875 (pp) 9606.ENSP00000483236","false","pp","9606.ENSP00000441875 (pp) 9606.ENSP00000483236","0.044","0.0","0.0","0.0","0.0",,"0.0","0.758","0.757"
"354.17751921281325","pp","9606.ENSP00000354681 (pp) 9606.ENSP00000416338","false","pp","9606.ENSP00000354681 (pp) 9606.ENSP00000416338","0.266","0.0","0.0","0.127","0.0",,"0.0","0.936","0.908"
"4482.930611603757","pp","9606.ENSP00000355759 (pp) 9606.ENSP00000481920","false","pp","9606.ENSP00000355759 (pp) 9606.ENSP00000481920","0.048","0.0","0.0","0.51","0.0",,"0.0","0.806","0.619"
"1212.0","pp","9606.ENSP00000355759 (pp) 9606.ENSP00000498881","false","pp","9606.ENSP00000355759 (pp) 9606.ENSP00000498881","0.055","0.0","0.5","0.0","0.0",,"0.0","0.768","0.55"
