"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000005",4415.71048559062,29.7835495954495,4.63985814015078,6.41906469892238,1.37114130783526e-10,4.38647220115904e-09
"ENSG00000000419",459.298820250431,-1.80227151781481,0.711397490649799,-2.53342405828364,0.0112954212634348,0.0452084399275328
"ENSG00000000457",82.516696460861,-1.28183430879382,1.46834586556851,-0.872978457495452,0.382674819829865,0.685172611133581
"ENSG00000000938",7.8269933872225,-6.57525752178269,3.11470756610514,-2.1110352680733,0.0347692805699188,0.115485457103839
"ENSG00000000971",11.8911306734466,-7.55060814044688,1.68271575014808,-4.48715603914828,7.21802107121341e-06,7.25196527841317e-05
"ENSG00000001036",721.451921796675,-13.0101588770649,1.3200718609875,-9.85564442479098,6.47996609957922e-23,7.52769561830494e-20
"ENSG00000001084",405.696350501506,-1.75717782546291,1.98627230450785,-0.884661091772257,0.37633944649705,0.677352696043447
"ENSG00000001167",548.836072023676,-1.34539823771476,2.75686400916692,-0.488017629176173,0.625537354077543,0.858577964867767
"ENSG00000001460",114.756538462672,-1.71924290440415,2.40069052708603,-0.71614516115535,0.473901720425947,0.762491678178725
"ENSG00000001461",814.405225348454,0.0956029065587636,1.95618366149113,0.0488721526719475,0.961021181282782,1
"ENSG00000001497",1080.67660826811,-0.685481568503832,0.523313308155287,-1.30988751446089,0.190233891523394,0.437662748080866
"ENSG00000001561",94.6366260445904,-1.22538581921828,2.00235682760585,-0.611971753647642,0.540556446086462,0.806560380782617
"ENSG00000001617",1112.88626419981,-0.60914147471288,0.991121138627685,-0.61459840878412,0.538819965526626,0.805606127964761
"ENSG00000001626",0.548483720628083,-0.730589143141109,3.80312167301009,-0.192102489995505,0.847661924504074,0.961144834931957
"ENSG00000001629",464.323182976252,-1.85810468045499,1.50987827489525,-1.23063210548141,0.218460491792896,0.482821065511838
"ENSG00000001630",1309.13257188586,-0.78746636773295,2.97740879776563,-0.264480432893158,0.791409740462586,0.935344915637258
"ENSG00000001631",178.891907195715,-1.76845650872814,2.61832589761981,-0.67541497043426,0.499412156892633,0.778661862595766
"ENSG00000002016",108.293485506612,-1.46062650962329,1.67680504064553,-0.871077122395212,0.383712044647362,0.686302518654784
"ENSG00000002330",270.211430273447,-0.195009445100195,2.32004468611894,-0.0840541763126182,0.933013357658653,1
