"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000005",4415.71048559062,41.2701766147242,3.39553427142668,12.1542512358104,5.44584462154326e-34,6.9330078068921e-32
"ENSG00000000419",459.298820250431,-0.476481220941814,0.530415457039702,-0.898316997775856,0.369016573064598,0.606983278190414
"ENSG00000000457",82.516696460861,-0.483953621707628,1.09362329386108,-0.442523147069237,0.658110684146317,0.861733236085072
"ENSG00000000938",7.8269933872225,-7.24706848150749,2.38246525498374,-3.04183595808911,0.00235140001765748,0.00862210931706441
"ENSG00000000971",11.8911306734466,-2.22400723029695,1.44356235679801,-1.54063814411873,0.123404878975398,0.258186232048144
"ENSG00000001036",721.451921796675,-11.5685933548358,1.12807205872012,-10.2551900522749,1.12155153920605e-24,4.75942430575864e-23
"ENSG00000001084",405.696350501506,-1.48475445589528,1.4739445992266,-1.00733396402711,0.31377431345416,0.540712327477515
"ENSG00000001167",548.836072023676,-1.03057328793873,2.04511248163261,-0.503920100823023,0.614317524717678,0.830725342446525
"ENSG00000001460",114.756538462672,-0.777176237870355,1.78433814341318,-0.435554348675039,0.663160098747043,0.865600895745174
"ENSG00000001461",814.405225348454,-0.416480172335346,1.45110985900043,-0.287008023377521,0.774106176808585,0.928382367652406
"ENSG00000001497",1080.67660826811,0.760859372741556,0.390486206428134,1.94849231603162,0.0513560833574799,0.124113317041409
"ENSG00000001561",94.6366260445904,-1.36119382620735,1.48728361264324,-0.915221424236769,0.360075399622813,0.595596818794093
"ENSG00000001617",1112.88626419981,2.64891585548882,0.749864391101694,3.53252653002639,0.000411608923876888,0.00184707268664889
"ENSG00000001626",0.548483720628083,-2.02622921531696,2.89312199167687,-0.700360794030171,0.483702014191302,0.72440329850727
"ENSG00000001629",464.323182976252,-1.07536986953443,1.12068316851535,-0.959566360721783,0.337273506101184,0.569175836018042
"ENSG00000001630",1309.13257188586,-1.59810367685553,2.20825605628271,-0.723694914051642,0.469253056238594,0.710782051691528
"ENSG00000001631",178.891907195715,0.134901736788142,1.94360970543671,0.069407832452571,0.944664994561255,0.993403272555481
"ENSG00000002016",108.293485506612,0.294690887479122,1.25050107698465,0.23565824364559,0.81369787409058,0.945983892952884
"ENSG00000002330",270.211430273447,0.0734086500107702,1.72212206063644,0.0426268565328294,0.965998986525925,0.999268029636606
"ENSG00000002549",507.313364486611,0.961714377304881,1.79582282225915,0.535528541782891,0.592284426612879,0.815345181266004
"ENSG00000002586",4555.95158938588,-3.19042183302598,0.856452601276143,-3.72515866992773,0.000195192406630852,0.000951456726233502
"ENSG00000002587",417.458615689325,8.49128729633444,1.17497327628144,7.22679184943479,4.94537189698531e-13,9.63518107434653e-12
"ENSG00000002726",558.077662985282,7.96396392842646,1.8224122877363,4.37001219867698,1.24239595857237e-05,8.0293510716219e-05
"ENSG00000002745",10.9017427632843,-0.538174528306232,1.74576140870384,-0.308274959924682,0.757873117920624,0.921336928314157
"ENSG00000002746",25.0342133277155,-6.92244342165209,1.48062359505786,-4.67535668400689,2.93443146290419e-06,2.14311503343812e-05
"ENSG00000002822",769.396954386184,3.27513549216643,0.857254563270922,3.82049350623447,0.000133184912045018,0.000676738097370352
"ENSG00000002834",3889.36539652046,-0.412492249885967,0.529457875755304,-0.779084170383756,0.435930134207208,0.679330519665541
"ENSG00000002919",198.405709750439,1.91643844349919,0.806642582413637,2.37582107029959,0.0175099514293578,0.0496729956070625
"ENSG00000002933",253.573787204936,-10.9180973896078,1.93415327402053,-5.64489771118929,1.65279485670477e-08,1.82860107152212e-07
"ENSG00000003056",703.621312414294,0.140248829303735,1.55112707228067,0.0904173692858855,0.927955554532307,0.98712205204912
