"ENTREZ_GENE_ID","Original ID","Value","Gene Name","Species"
"123","PLIN2","","perilipin 2(PLIN2)","Homo sapiens"
"124","ADH1A","","alcohol dehydrogenase 1A (class I), alpha polypeptide(ADH1A)","Homo sapiens"
"125","ADH1B","","alcohol dehydrogenase 1B (class I), beta polypeptide(ADH1B)","Homo sapiens"
"126","ADH1C","","alcohol dehydrogenase 1C (class I), gamma polypeptide(ADH1C)","Homo sapiens"
"127","ADH4","","alcohol dehydrogenase 4 (class II), pi polypeptide(ADH4)","Homo sapiens"
"128","ADH5","","alcohol dehydrogenase 5 (class III), chi polypeptide(ADH5)","Homo sapiens"
"130","ADH6","","alcohol dehydrogenase 6 (class V)(ADH6)","Homo sapiens"
"131","ADH7","","alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide(ADH7)","Homo sapiens"
"132","ADK","","adenosine kinase(ADK)","Homo sapiens"
"133","ADM","","adrenomedullin(ADM)","Homo sapiens"
"134","ADORA1","","adenosine A1 receptor(ADORA1)","Homo sapiens"
"135","ADORA2A","","adenosine A2a receptor(ADORA2A)","Homo sapiens"
"136","ADORA2B","","adenosine A2b receptor(ADORA2B)","Homo sapiens"
"140","ADORA3","","adenosine A3 receptor(ADORA3)","Homo sapiens"
"141","ADPRH","","ADP-ribosylarginine hydrolase(ADPRH)","Homo sapiens"
"142","PARP1","","poly(ADP-ribose) polymerase 1(PARP1)","Homo sapiens"
"143","PARP4","","poly(ADP-ribose) polymerase family member 4(PARP4)","Homo sapiens"
"146","ADRA1D","","adrenoceptor alpha 1D(ADRA1D)","Homo sapiens"
"147","ADRA1B","","adrenoceptor alpha 1B(ADRA1B)","Homo sapiens"
"148","ADRA1A","","adrenoceptor alpha 1A(ADRA1A)","Homo sapiens"
"150","ADRA2A","","adrenoceptor alpha 2A(ADRA2A)","Homo sapiens"
"151","ADRA2B","","adrenoceptor alpha 2B(ADRA2B)","Homo sapiens"
"152","ADRA2C","","adrenoceptor alpha 2C(ADRA2C)","Homo sapiens"
"153","ADRB1","","adrenoceptor beta 1(ADRB1)","Homo sapiens"
"154","ADRB2","","adrenoceptor beta 2(ADRB2)","Homo sapiens"
"155","ADRB3","","adrenoceptor beta 3(ADRB3)","Homo sapiens"
"158","ADSL","","adenylosuccinate lyase(ADSL)","Homo sapiens"
"160","AP2A1","","adaptor related protein complex 2 subunit alpha 1(AP2A1)","Homo sapiens"
