"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000005",4415.71048559062,25.6322161455368,3.87316467664201,6.61789990498406,3.6433757238523e-11,6.8446425533486e-10
"ENSG00000000419",459.298820250431,1.16240723344923,0.586271794303421,1.98271048469992,0.0473997777705311,0.121376584441495
"ENSG00000000457",82.516696460861,-1.06037966831011,1.21295866027814,-0.874209239799612,0.382004315076458,0.574195616116103
"ENSG00000000938",7.8269933872225,-6.83745352600129,2.67320451624971,-2.55777419364595,0.0105344472121481,0.0343822495236095
"ENSG00000000971",11.8911306734466,-0.0319354246502157,1.47694827624507,-0.0216225748483264,0.982749025615377,1
"ENSG00000001036",721.451921796675,2.21896645593046,0.842669459124046,2.63325842879968,0.0084569972102066,0.028406222327855
"ENSG00000001084",405.696350501506,0.561201457483055,1.63219739355035,0.343831854958629,0.730972742356115,0.863499009186349
"ENSG00000001167",548.836072023676,1.17813551516026,2.26525519074709,0.52008953338794,0.603001173115985,0.771133176783245
"ENSG00000001460",114.756538462672,1.80301223393637,1.97419820088933,0.913288358344242,0.361090903486291,0.554326351751682
"ENSG00000001461",814.405225348454,0.646346118866817,1.6074165875493,0.40210243186071,0.687608643118278,0.833264330051628
"ENSG00000001497",1080.67660826811,2.15119144902811,0.431821246582549,4.98167115687968,6.30374931095105e-07,6.67592087667169e-06
"ENSG00000001561",94.6366260445904,-1.82104624976106,1.64883330674344,-1.10444533253501,0.269400005268547,0.457214827978328
"ENSG00000001617",1112.88626419981,6.74023228221539,0.826785102565165,8.15233881368121,3.5695254943677e-16,1.04034490183317e-14
"ENSG00000001626",0.548483720628083,-0.120782217791605,3.15526320815327,-0.0382796013592469,0.969464754621554,NA
"ENSG00000001629",464.323182976252,-0.10329532830749,1.2411430630839,-0.0832259643387364,0.933671867796887,0.992561084735165
"ENSG00000001630",1309.13257188586,-1.1115628637749,2.44632928044548,-0.454379904071003,0.649555413879134,0.805117040680214
"ENSG00000001631",178.891907195715,-0.551489763185421,2.15350842745445,-0.256088973767011,0.797882135828748,0.906227732912678
"ENSG00000002016",108.293485506612,1.90682840101775,1.38274558318646,1.37901608524655,0.167889794524472,0.326282940169064
"ENSG00000002330",270.211430273447,1.77752252588313,1.90713101295974,0.932040071607105,0.351315816895337,0.544697631931978
"ENSG00000002549",507.313364486611,1.24383601150925,1.98928338596828,0.625268385732689,0.531794925428302,0.711673239158866
"ENSG00000002586",4555.95158938588,-2.24436991801278,0.948732212383667,-2.36565164407547,0.0179983706950461,0.0542371595948567
"ENSG00000002587",417.458615689325,5.7154871518889,1.27981295747636,4.46587692248338,7.97414450121015e-06,6.50233070098679e-05
"ENSG00000002726",558.077662985282,-4.37294236427399,2.25520937077863,-1.93904052587552,0.0524964036682144,0.132005735107152
"ENSG00000002745",10.9017427632843,-5.2679952300452,2.16912663501984,-2.42862502584918,0.0151561984598957,0.046964785992176
"ENSG00000002746",25.0342133277155,-1.30830624850623,1.47364245074155,-0.887804397768179,0.374645976915806,0.566999154898585
"ENSG00000002822",769.396954386184,2.30512914116904,0.949204403387819,2.42848551159452,0.0151620308978369,0.046964785992176
"ENSG00000002834",3889.36539652046,1.11428789127839,0.586411537748902,1.90018070851042,0.0574094090305419,0.141824737519312
"ENSG00000002919",198.405709750439,1.79984967093393,0.892478387749489,2.01668712165961,0.0437281747190171,0.113685618383289
"ENSG00000002933",253.573787204936,-10.7505574227222,2.23989567219972,-4.79957953227549,1.58999086453112e-06,1.54384656444093e-05
"ENSG00000003056",703.621312414294,1.67934083765206,1.71806702507077,0.977459443168628,0.328341746828914,0.522039125108604
"ENSG00000003096",338.156853900217,-1.54811696684523,0.796989565266496,-1.94245575389381,0.0520819513804494,0.131142836292263
"ENSG00000003137",161.914540229176,-3.31460406391278,1.47863791945133,-2.24166039590186,0.0249833293468994,0.0715113778642836
"ENSG00000003147",314.963102751979,-5.99746391570782,1.55901366105722,-3.84696046322053,0.000119592259040634,0.000707495132456944
"ENSG00000003249",846.919069602005,-1.58442304331407,1.61444878467194,-0.981401861958742,0.326394608325947,0.520193226793164
"ENSG00000003393",488.024150138392,0.725520603336913,1.52458663976385,0.475880205436728,0.634159725087401,0.794021840942709
"ENSG00000003400",147.122038170694,-2.64818832776568,1.43216133820302,-1.84908519530939,0.0644455117771291,0.155613395514284
"ENSG00000003402",517.925975597994,-0.853974332084839,1.60204218963796,-0.533053584736009,0.59399648783202,0.764027447919861
"ENSG00000003436",341.126265961543,-2.62178253134928,1.42279477129176,-1.84269902044197,0.0653729671306662,0.157194270626714
"ENSG00000003509",148.76956234055,2.79811859394779,1.95641262826699,1.43022926427662,0.152651228925283,0.304233792214263
