"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000005",4415.71048559062,14.1455891262621,4.99998037329313,2.82912893054927,0.00466748912886886,0.0658129690399572
"ENSG00000000419",459.298820250431,-0.16338306342377,0.753963099205836,-0.216699018288647,0.828442913119382,1
"ENSG00000000457",82.516696460861,-1.8582603553963,1.55926091679746,-1.191757155828,0.233356479681717,1
"ENSG00000000938",7.8269933872225,-6.1656425662765,3.34234126934513,-1.84470766729471,0.065080074935316,0.509198072301099
"ENSG00000000971",11.8911306734466,-5.35853633480015,1.71144252883158,-3.13100571274132,0.00174208771686222,0.0300931081722287
"ENSG00000001036",721.451921796675,0.777400933701347,1.08634098501285,0.715614106828667,0.474229660582627,1
"ENSG00000001084",405.696350501506,0.288778087915421,2.10637781567342,0.137097004044878,0.890954120535634,1
"ENSG00000001167",548.836072023676,0.863310565384228,2.92389697996136,0.295260254140568,0.767795076313139,1
"ENSG00000001460",114.756538462672,0.860945567402577,2.54497516880744,0.338292325188388,0.735142906762327,1
"ENSG00000001461",814.405225348454,1.15842919776093,2.07478126384929,0.558337988657041,0.576613608833978,1
"ENSG00000001497",1080.67660826811,0.704850507782722,0.554839528323156,1.27036822685098,0.203953495585788,0.978292547729816
"ENSG00000001561",94.6366260445904,-1.68523824277199,2.12510364620949,-0.793014611676903,0.427769309739064,1
"ENSG00000001617",1112.88626419981,3.48217495201369,1.05052261051742,3.31470728678423,0.000917391339111835,0.0187379701319469
"ENSG00000001626",0.548483720628083,1.17485785438424,4.00614507591235,0.293263931315989,0.769320420844343,1
"ENSG00000001629",464.323182976252,-0.886030139228044,1.60132314012132,-0.553311269305029,0.580050285660693,1
"ENSG00000001630",1309.13257188586,-0.300925554652321,3.15801612054781,-0.0952894295549447,0.924084938442212,1
"ENSG00000001631",178.891907195715,-2.45484800870171,2.77769557080014,-0.883771437916993,0.37681960770579,1
"ENSG00000002016",108.293485506612,0.15151100391534,1.77761205437323,0.0852328850620683,0.932076247196549,1
